reactions	name	reaction	subsystem	type	lower_bound	upper_bound	unit	references	notes	conversions
EX_for_e	Formate exchange	for_e <=>	Pseudoreactions	exchange	-217360	217360	mmol / (hr * L cells)	pubmed:10028241	Rapid exchange of formate mediated by band 3. Assume transport is symmetric. Calculated volume ~90 fL. Area of RBC used for calculations: 1.43 * 1e-6 cm^2. Vmax = 3.8 (0.4) * 1e-9 mol / cm^2 / s	"3.8 * 1e-9 mol / cm^2 / s
* (1.43 * 1e-6 cm^2 / cell)
* (1 cell / 90e-15 L cells)
* (1e3 mmol / 1 mol)
* (3600 s / 1 hr)"
EX_uri_e	Uridine exchange	uri_e <=> 	Pseudoreactions	exchange	-127.8	127.8	mmol / (hr * L cells)	pubmed:6744292	"Accelerated efflux of uridine in human erythrocytes at 37C: Vmax = 213 pmol / min / 1e6 cells
Assume symmetric transport."	"213 pmol / min / 1e6 cells
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1 cell / 100e-15 L cell)"
EX_phe__L_e	L-phenylalanine exchange	phe__L_e <=>	Pseudoreactions	exchange	-64.53	64.53	mmol / (hr * L cells)	pubmed:14154468	"Uptake experiment at 37 C. Mean (SD) Vmax = 1.5 mmol / (L cell water * min).
Assume symmetric transport"	"1.5 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
EX_val__L_e	L-valine exchange	val__L_e <=>	Pseudoreactions	exchange	-43.02	43.02	mmol / (hr * L cells)	pubmed:14154468	"Uptake experiment at 37 C. Mean (SD) Vmax = 1.0 (0.28) mmol / (L cell water * min)
Assume symmetric transport."	"1.0 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
EX_met__L_e	L-methionine exchange	met__L_e <=>	Pseudoreactions	exchange	-24.0912	24.0912	mmol / (hr * L cells)	pubmed:14154468	"Uptake experiment at 37 C. Mean (SD) Vmax = 0.56 (0.13) mmol / (L cell water * min)
Assume symmetric transport"	"0.56 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
EX_leu__L_e	L-leucine exchange	leu__L_e <=>	Pseudoreactions	exchange	-22.3704	21.98322	mmol / (hr * L cells)	pubmed:14154468	"Uptake experiment at 37 C. Mean (SD) Vmax = 0.52 (0.15) mmol / (L cell water * min)
Efflux of L-leucine affected by presence of amino acids, initial leucine concentration 0.83 mM: Efflux, L-methionine added at 20mM: 0.284 mmol / (L cell water * min)"	"0.52 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)
0.511 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
EX_selni_e	selenite exchange	selni_e <=> 	Pseudoreactions	exchange	-18.711	DEFAULT	mmol / (hr * L cells)	pubmed:32652143	"Selenite influx through SLC4A1:
Vmax = 6237 pmol / min @ 37 C. Human RBCs at a 10% hematocrit in 200 µl "	"6237 pmol / (min * (200 * 0.1) uL cells)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1e6 uL cells / 1 L cells)"
EX_trp__L_e	L-tryptophan exchange	trp__L_e <=> 	Pseudoreactions	exchange	-11.52936	7.78662	mmol / (hr * L cells)	pubmed:6109287;pubmed:4052418	"Human erythrocytes at 37C, influx of L-tryptophan initial rate Mean (SD) Vmax =0.268 (0.108) mmol/l cell water per min
Human erythrocytes at 37C, Efflux of L-tryptophan initial rate mean (SE), n=7. Containing no amino acids: Vmax = 180 umol / (L cell water * min)"	"81 umol / (L cell water * min)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)
* (0.717 L cell water / L cell)
180 umol / (L cell water * min)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)
* (0.717 L cell water / L cell)"
EX_snocys__L_e	S-Nitroso-L-cysteine exchange	snocys__L_e <=> 	Pseudoreactions	exchange	-5.76	5.76	mmol / (hr * L cells)	pubmed:16023102	"Initial formation rates of GSNO and L -cysteine in the cytosol of washed RBC (1.5 ml) after 3-min incubation with di_erent concentrations of L -SNC (0–2 mM) in physiological saline (1.5 ml).
Vmax with regards to cytosolic cysteine were estimated graphically. L-cysteine formation Vmax = 95 uM / min.
Assume transport corresponds to Vmax of cysteine formation. Uptake likely through L system transport.
Assyme symmetric transport"	"96 umol / (L cells * min)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
EX_lys__L_e	L-lysine exchange	lys__L_e <=>	Pseudoreactions	exchange	-3.8718	DEFAULT	mmol / (hr * L cells)	pubmed:7272286;ISBN-13:9780122371509	Human erythrocyte incubated with 0.1 mM L-lysine uptake from Krebs-Ringer phosphate medium at pH 7.4 and 37 C is recorded. Vmax = 0.09 mmole/(kg cell water * min)	"0.09 mmol / (kg cell water * min)
* (60 min / 1)
* (1 kg water / 1L water)
* (0.717 L L water / L cell)"
EX_dhdascb__L_e	Dehydroascorbate exchange	dhdascb__L_e <=> 	Pseudoreactions	exchange	-1.678	DEFAULT	mmol / (hr * L cells)	pubmed:9586809	"Uptake and reduction of increasing concentrations of DHA by erythrocytes. Washed, 40% erythrocytes were incubated at 37C, incubated in DHA. Measured by DHA-dependent ascorbate appearance. Vmax = 1678 nmol / (mL cells * hr)"	"1678 nmol / (mL cells * hr)
* (1 mmol / 1e6 nmol)"
EX_arsni_e	arsenite exchange	arsni_e <=> 	Pseudoreactions	exchange	-1.38	DEFAULT	mmol / (hr * L cells)	pubmed:32652143	"Arsenite influx:
Vmax = ~460 pmol / min @ 37 C. Human RBCs at a 10% hematocrit in 200 µl of isotonic saline were incubated with AsIII (0.01 to 100 µM). Uptake was linear, saturation not observed"	"460 pmol / (min * (200 * 0.1) uL cells)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1e6 uL cells / 1 L cells)"
EX_man_e	D-Mannose exchange	man_e <=> 	Pseudoreactions	exchange	-1.2	DEFAULT	mmol / (hr * L cells)	pubmed:5773084	"Mannose influx:
Starting at [mannose] = 10 mM, mannose linearly disappeared from the incubating mixture at a rate of 0.020 umoles/min/mL cells"	"0.020 umol/(min * mL cells)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)
* (1e3 mL cells / 1 L cells)"
EX_pro__L_e	L-proline exchange	pro__L_e <=>	Pseudoreactions	exchange	-1.2	1.2	mmol / (hr * L cells)	pubmed:2222407	"Lack of saturation in the red cell uptake of proline (pubmed:2222407) SE is 5%. Mean (SE). 0.1 (0.005) mmol / (L cells * 5 min)
Assume symmetric transport"	" 0.1 mmol / (L cells * 5 min)
* (60 min / 1 hr)"
EX_rib__D_e	Ribose exchange	rib__D_e <=> 	Pseudoreactions	exchange	-1.125	1.125	mmol / (hr * L cells)	pubmed:36682143	"The uptake rate of d-ribose after different concentration of d-ribose incubation for 2 h at 37 C. The uptake rate of d-ribose was calculated by the ratio of intracellular d-ribose content to the total d-ribose content.
Incubation of 5, 15, and 25 mmol / L results in 8%, 11%, and 9% uptake."	(25 * 0.09) mmol / (L * 2 hr)
EX_ile__L_e	isoleucine exchange	ile__L_e <=> 	Pseudoreactions	exchange	-1.1	1.1	mmol / (hr * L cells)	pubmed:17047158	"In uninfected cells, the initial influx rate for isoleucine (estimated from the amount of isoleucine taken up over the first 15 seconds) under the conditions of the experiment was 110 ± 6 _mol/(1e12 cells · hour) (mean ± SEM; n = 10)
Assume symmetric transport."	"110 umol / (hr * 1e12 cells)
* (1 mmol / 1e3 umol)
* (1 cell / 100e-15 L cells)"
EX_arg__L_e	L-Arginine exchange	arg__L_e <=> 	Pseudoreactions	exchange	-0.9132	DEFAULT	mmol / (hr * L cells)	pubmed:20668961	"Washed erythrocytes at 37 C. Influx of arginine, total (mean (SD)): Vmax: 913.2 (608.3) _mol/l of cells/h"	"913.2 umol / (hr * L cells)
* (1 mmol / 1e3 umol)"
EX_orn__L_e	Ornithine exchange	orn__L_e <=>	Pseudoreactions	exchange	-0.75	DEFAULT	mmol / (hr * L cells)	pubmed:5016055	"Human erythrocytes, 37 C and pH 7.4 pre-incubated with 1 mM ornithine, 2 hrs. mean (SD): Influx = 12.5 (1) umol / (L cells * min)"	"12.5 umol / (L cells * min)
* (1 mmol / 1e3 umol)
* (60 min / 1 min)"
EX_mmarg__L_e	NG-Monomethyl-LArginine exchange	mmarg__L_e <=> 	Pseudoreactions	exchange	-0.45	DEFAULT	mmol / (hr * L cells)	pubmed:9279204	"Experiments measuring the concentration dependence of total NG-monomethyl-L-arginine influx using fresh erythrocytes. 4 healthy donors, zero-trans conditions. L-LMMA influx, asymptotes at 500 uM: Vmax <= 450 umol / (hr * L cells)"	"450 umol / (hr * L cells)
* (1 mmol / 1e3 umol)"
EX_dopa__L_e	L-dopa exchange	dopa__L_e <=>	Pseudoreactions	exchange	-0.414426	DEFAULT	mmol / (hr * L cells)	pubmed:6221201	Uptake of L-dopa saturatable transport in 5 control erythrocytes. Vmax = 20 umol / (L cell water * hr)	"578 umol / (L cell water * hr)
* (1 mmol / 1e3 umol)
* (0.717 L water / L cell)"
EX_gsn_e	guanosine exchange	gsn_e <=> 	Pseudoreactions	exchange	-0.38	DEFAULT	mmol / (hr * L cells)	pubmed:4072092	Human erythrocytes incubated at 37C and pH 7.4. Higher guanosine affluent (~ 60 umol/L extracellular guanosine). Value determined to be 0.38 mmol / (L cells * hr)	0.38 mmol / (L cells * hr)
EX_ser__L_e	L-serine exchange	ser__L_e <=>	Pseudoreactions	exchange	-0.357066	0.141966	mmol / (hr * L cells)	pubmed:7055559	"Washed erythrocytes, Na+-dependent components of influx measured at 37 C. Vmax = 8.3 nmol / (mL water * min)
Washed erythrocytes, Na+-dependent components of efflux measured at 37 C, extracellular serine, inital intracellular serine 0.41 mM. Vmax = 3.3 nmol / (mL water * min)"	"8.3 nmol / (mL water * min)
* (1 mmol / 1e6 nmol)
* (60 min / 1 hr)
* (1e3 mL / 1 L)
* (0.717 L water / L cell)
3.3 nmol / (mL water * min)
* (1 mmol / 1e6 nmol)
* (60 min / 1 hr)
* (1e3 mL / 1 L)
* (0.717 L water / L cell)"
EX_gln__L_e	L-glutamine exchange	gln__L_e <=>	Pseudoreactions	exchange	-0.314	DEFAULT	mmol / (hr * L cells)	pubmed:20498365;pubmed:11920197	"Human erythrocytes at 37 C,Carrier N. Reported mean (SD) Vmax = 314 (114) mmol / (L cells * hr)
Stated in pubmed:20498365, citing pubmed:11920197"
EX_ala__L_e	L-Alanine exchange	ala__L_e <=> 	Pseudoreactions	exchange	-0.30114	0.4302	mmol / (hr * L cells)	pubmed:7055559	"Washed erythrocytes, Na+-dependent components of influx measured at 37 C. Vmax = 7.0 nmol / (mL water * min)
Washed erythrocytes, Na+-dependent components of efflux measured at 37 C, extracellular serine, iniital intracellular alanine 0.95 mM. Vmax = 10.0 nmol / (mL water * min)"	"7.0 nmol / (mL water * min)
* (1 mmol / 1e6 nmol)
* (60 min / 1 hr)
* (1e3 mL / 1 L)
* (0.717 L water / L cell)
10 nmol / (mL water * min)
* (1 mmol / 1e6 nmol)
* (60 min / 1 hr)
* (1e3 mL / 1 L)
* (0.717 L water / L cell)"
EX_srtn_e	Serotonin exchange	srtn_e <=>	Pseudoreactions	exchange	-0.2736	0.00864	mmol / (hr * L cells)	pubmed:4383664	"Influx Init. velocity = 76 * 1e-14 mol / (1e8 cells * sec)
Human erythrocytes incubated at 37 C in krebs bicarbonate. The slow diffusion of amines into, and the small amounts retained by erythrocytes indicate that they do not contribute significantly to the rapid termination of the pharmacological actions of these amines in vivo.
Efflux Init. velocity = 2.4 * 1e-14 mol / (1e8 cells * sec)
Human erythrocytes incubated at 37 C in krebs bicarbonate. The slow diffusion of amines into, and the small amounts retained by erythrocytes indicate that they do not contribute significantly to the rapid termination of the pharmacological actions of these amines in vivo."	"76 * 1e-14 mol / (1e8 cells * sec)
* (1e3 mol / 1 mmol )
* (3600 s / 1 hr)
* (1 cell / 100e-15 L cells)
2.4 * 1e-14 mol / (1e8 cells * sec)
* (1e3 mol / 1 mmol )
* (3600 s / 1 hr)
* (1 cell / 100e-15 L cells)"
EX_cysi__L_e	L-cystine exchange	cysi__L_e <=>	Pseudoreactions	exchange	-0.252	DEFAULT	mmol / (hr * L cells)	pubmed:5016055	"Human erythrocytes, 37 C and pH 7.4 pre-incubated with 1 mM cystine and argnine in medium, 2 hrs. mean (SD): Influx =4.2 (0.3) umol / (L cells * min)"	"4.2 umol / (L cells * min)
* (1 mmol / 1e3 umol)
* (60 min / 1 min)"
EX_asn__L_e	L-asparagine exchange	asn__L_e <=> 	Pseudoreactions	exchange	-0.24	DEFAULT	mmol / (hr * L cells)	pubmed:4074779	"Human erythrocytes, asaragine uptake Vmax = 0.24 mmol / (L * hr)"	0.24 mmol / (hr * L cells)
EX_cobalt2_e	Cobalt (II) exchange	cobalt2_e <=> 	Pseudoreactions	exchange	-0.238	0.0019	mmol / (hr * L cells)	pubmed:21420882	Red cells at 37 C. The rate of efflux (1.9 umol / (L cells * min)) is much slower than the initial rate of 57Co influx at the same A23187 concentration (238 umol / (L cells * min))	"19 to 238 umol / (L cells * hr)
* (1 mmol / 1e3 umol)"
EX_naccys__L_e	N-acetyl L-cysteine exchange	naccys__L_e <=>	Pseudoreactions	exchange	-0.1566	DEFAULT	mmol / (hr * L cells)	pubmed:17544838	"Rate constant for uptake via AE1: 2.40 ± 0.070 1/min, linear rate increase with extracellular concentration likely due to extracellular reactions interference at higher concentrations. Assume deacetylation limits rate. Mean (SE) Vmax= 2.61 (0.08) umol /(L RBC cell volume *min) for deacetylation. Assume water fraction ~70%"	"2.61 umol /(min * L cell)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
EX_sbt__D_e	D-Sorbitol exchange	sbt__D_e <=> 	Pseudoreactions	exchange	-0.155	DEFAULT	mmol / (hr * L cells)	pubmed:8141248	"Sorbitol influx at 37 C in human erythrocytes, linearly dependent on concentration in range tested (100 uM to 100 mM). Human plasma concentration of sorbitol is ~ 5 uM. Low osmolarity conditions with 5 mM glucose, 5 mM sorbitol, 5 mM sucrose in media: 155 umol/(hr * L cells)"	"155 umol/(hr * L cells)
* (1 mmol / 1e3 umol)"
EX_thr__L_e	L-threonine exchange	thr__L_e <=>	Pseudoreactions	exchange	-0.15057	0.15057	mmol / (hr * L cells)	pubmed:7055559	"Washed erythrocytes, Na+-dependent components of influx measured at 37 C. Vmax = 3.5 nmol / (mL water * min). Assume symmetric transport."	"3.5 nmol / (mL water * min)
* (1 mmol / 1e6 nmol)
* (60 min / 1 hr)
* (1e3 mL / 1 L)
* (0.717 L water / L cell)"
EX_pe_hs_e	Phosphatidylethanolamine (PE) exchange	pe_hs_e <=>	Pseudoreactions	exchange	-0.11286	DEFAULT	mmol / (hr * L cells)	pubmed:9156082	"Active translocation flux from outside to inside at 37 C, PE active flux = 18.81 * 1e-4 mM / min. Considered a typical steady state flux value."	"18.81 * 1e-4 mmol / min / L cells
* (60 min / 1 hr)"
EX_gly_e	Glycine exchange	gly_e <=>	Pseudoreactions	exchange	-0.098	DEFAULT	mmol / (hr * L cells)	pubmed:20498365	"Human erythrocytes at 37 C, Carrier ASC influx. Reported Vmax = 98 umol / (L cells * hr).
Modeled value for matching experimental data (pubmed:20498365)
Initial rates of amino acid uptake at 37 C were measured. Na+-dependent components of efflux, Cl sensitive: Vmax = 28.7 umol / (hr * L cells)"	"98 umol / (L cells * hr)
* (1 mmol / 1e3 umol)"
EX_cys__L_e	L-cysteine exchange	cys__L_e <=> 	Pseudoreactions	exchange	-0.09321	0.086	mmol / (hr * L cells)	pubmed:6109287;pubmed:20498365	"Amino acid uptake measured at 37 C in human erythrocytes. L-cysteine, Na-dependent Vmax = 0.13 mmol/hr/L cell water
Human erythrocytes at 37 C, Carrier ASC efflux. Reported Vmax = 86 umol / (L cells * hr). Modeled value for matching experimental data (pubmed:20498365)"	"0.13 mmol/(L cell water * hr)
* (0.717 L cell water/ 1 L cells)
86 umol / (L cells * hr)
* (1 mmol / 1e3 umol)"
EX_hista_e	Histamine exchange	hista_e <=>	Pseudoreactions	exchange	-0.072	0.0216	mmol / (hr * L cells)	pubmed:4383664	"Influx Init. velocity = 20 * 1e-14 mol / (1e8 cells * sec)
Human erythrocytes incubated at 37 C in krebs bicarbonate. The slow diffusion of amines into, and the small amounts retained by erythrocytes indicate that they do not contribute significantly to the rapid termination of the pharmacological actions of these amines in vivo.
Efflux Init. velocity = 6.0 * 1e-14 mol / (1e8 cells * sec)
Human erythrocytes incubated at 37 C in krebs bicarbonate. The slow diffusion of amines into, and the small amounts retained by erythrocytes indicate that they do not contribute significantly to the rapid termination of the pharmacological actions of these amines in vivo."	"20 * 1e-14 mol / (1e8 cells * sec)
* (1e3 mol / 1 mmol )
* (3600 s / 1 hr)
* (1 cell / 100e-15 L cells)
6.0 * 1e-14 mol / (1e8 cells * sec)
* (1e3 mol / 1 mmol )
* (3600 s / 1 hr)
* (1 cell / 100e-15 L cells)"
EX_akg_e	2-oxoglutarate exchange	akg_e <=>	Pseudoreactions	exchange	-0.05	DEFAULT	mmol / (hr * L cells)	pubmed:20498365	"Human erythrocytes at 37 C, influx. Reported Vmax = 50 umol / (L cells * hr).
Modeled value for matching experimental data (pubmed:20498365)"	"50 umol / (L cells * hr)
* (1 mmol / 1e3 umol)"
EX_adrnl__L_e	Adrenaline exchange	adrnl__L_e <=> 	Pseudoreactions	exchange	-0.0378	DEFAULT	mmol / (hr * L cells)	pubmed:8737076	"Adrenaline influx, mean (SEM): Vmax = 0.63 (0.13) umol per min per liter of cells"	"0.63 umol / (min * L cells)
* (1 mmol / 1000 umol)
* (60 min / 1 hr) "
EX_dpam__L_e	Dopamine exchange	dpam__L_e <=> 	Pseudoreactions	exchange	-0.0324	0.0102	mmol / (hr * L cells)	pubmed:8737076	"Dopamine influx, mean (SEM): Vmax = 0.54 (0.12) umol per min per liter of cells.
DA efflux increases with increasing extracellular concentrations of choline to reach a plateau value at concentrations above 40 umol / L. Choline-stimulated efflux gives Vmax = 0.17 umol per min per liter of cells. "	"0.54 umol / (min * L cells)
* (1 mmol / 1000 umol)
* (60 min / 1 hr)
0.17 umol / (min * L cells)
* (1 mmol / 1000 umol)
* (60 min / 1 hr) "
EX_nrpphr__L_e	Norepinephrine exchange	nrpphr__L_e <=> 	Pseudoreactions	exchange	-0.0288	0.00324	mmol / (hr * L cells)	pubmed:8737076;pubmed:4383664	"Noradrenaline influx, mean (SEM): Vmax = 0.48 (0.08) umol per min per liter of cells
Efflux Init. velocity = 0.9 * 1e-14 mol / (1e8 cells * sec)
Human erythrocytes incubated at 37 C in krebs bicarbonate. The slow diffusion of amines into, and the small amounts retained by erythrocytes indicate that they do not contribute significantly to the rapid termination of the pharmacological actions of these amines in vivo."	"0.48 umol / (min * L cells)
* (1 mmol / 1000 umol)
* (60 min / 1 hr)
0.9 * 1e-14 mol / (1e8 cells * sec)
* (1e3 mol / 1 mmol )
* (3600 s / 1 hr)
* (1 cell / 100e-15 L cells)"
EX_his__L_e	L-histidine exchange	his__L_e <=>	Pseudoreactions	exchange	-0.020391517	DEFAULT	mmol / (hr * L cells)	pubmed:1125248	"Histidine solutions of 0.31 M, pH 7.5 caused a rapid and dramatic decrease in cellular volume of human erythrocytes and a concomitant rapid exit of cations.
However, in a prolonged incubation, human erythrocytes slowly regained their cell volume as a result of histidine entry into the cell.
Histidine uptake into human erythrocytes. Human erythrocytes were washed 0.172 M Tris -
HcI, pH 7.6 and suspended in histidine, sample was incubated at 37 C. The starting hematocrit was 13.8%. The specific activity of the final suspension was 613 cpm/mol of histidine.
Over 120 min, ~(75 -50)*1e-3 cpm / mL cells of histidine uptake measured."	"(75 -50)*1e-3 cpm / mL cells / 120 min
* (1 mol / 613 cpm)
* (1e3 mL / 1 L)
* (60 min / 1 hr)"
EX_mn2_e	Manganese (2+) exchange	mn2_e <=> 	Pseudoreactions	exchange	-0.013050601	DEFAULT	mmol / (hr * L cells)	pubmed:13783699	"Uptake of Mn by red blood cells over a 27 hour period of incubation. The concentration of carrier Mn was 1.4e-4 moles/liter of saline-tris buffer. Over the course of 1 and 3 hours, 1 and 3 ug Mn / mL water taken up. "	"3 ug / mL water / 3 hr
* (1 g / 1e6 ug)
* (1 mol / 54.94 g)
* (1e3 mmol / 1 mol)
* (1e3 mL / 1 L)
* (0.717 L water / 1 L cells)"
EX_urate_e	urate exchange	urate_e <=> 	Pseudoreactions	exchange	-0.009486	DEFAULT	mmol / (hr * L cells)	pubmed:36146	"Urate infux for erythrocytes determined to be at 17e-11 mmol / s / cm^2, using r = 15500 cm^2 / mL cells"	"17e-11 mmol / s / cm^2
* (15500 cm^2 / mL cells)
* (3600 s / 1 hr)"
EX_cit_e	Citrate exchange	cit_e <=> 	Pseudoreactions	exchange	-0.0054	0.0054	mmol / (hr * L cells)	DOI:10.1111/j.1423-0410.1963.tb04154.x	"Washed human erythrocytes at 37 C incubated with 170 umol sodium citrate/100 mL erythrocytes, formation of AKG is used to measure citrate uptake. 0.3 -2.7 umol of alpha-ketoglutaric acid/100 ml of packed erythrocytes/5 h
Assuming citrate transport is rate limiting over AKG formation. "	"2.7 umol / 100 mL cells / 5 hr
* (1 mmol / 1e3 umol)
* (1e3 mL / 1 L cells)"
EX_creat_e	Creatine exchange	creat_e <=> 	Pseudoreactions	exchange	-0.0045	DEFAULT	mmol / (hr * L cells)	pubmed:7397170	"Creatine transport studied in RBCs at 37 C has saturatable & non-saturatable components. The non-saturable component is little, if at all, dependent on cell age while the saturable component is higher in young cells than old. Vmax = 4.5 nmol / ml cells / hour. "	"4.5 nmol / (mL cells * hr)
* (1 mmol / 1e6 nmol)
* (1e3 mL cells / 1 L cells)"
EX_tetiodthy__L_e	"3,3',5,5'-Tetraiodo-L-thyronine transport"	tetiodthy__L_e <=>	Pseudoreactions	exchange	-0.0035424	0.0035424	mmol / (hr * L cells)	pubmed:2229315	"Estimated uptake with respect to T3, uptake is approx 1.8x when compared in Table 1. Assume symmetric transport."
EX_thbpt_e	Tetrahydrobiopterin exchange	thbpt_e <=> 	Pseudoreactions	exchange	-0.00225	0.00225	mmol / (hr * L cells)	pubmed:8926533	"The first-degree relationship was demonstrated between the BH4 concentration in the medium and the initial increase rate of BH4 in RBC, indicating the passive transport of BH4 into RBCs. Influx and efflux do not differ in human RBCs. At 37 C and external concentration 100 uM BH4, uptake rate is ~37.5 pmol / (mL * min). Assume symmetric transport."
EX_triiodthy__L_e	"3,3,3'-Triodo-L-thyronine (T3) exchange"	triiodthy__L_e <=>	Pseudoreactions	exchange	-0.001968	0.001968	mmol / (hr * L cells)	pubmed:2229315	"Human erythrocytes T3 uptake at 37 C, saturatable component. Activity may be age dependent, newborns are fastest. Influx and efflux rates are similar. Mean (SD) for n=8, Vmax = 3.28 (66) pmol/min/10^9_cells
Assume symmetric transport."
EX_orot_e	Orotate exchange	orot_e <=>	Pseudoreactions	exchange	-0.0015	DEFAULT	mmol / (hr * L cells)	pubmed:6720405	"This indicates a high capacity, non-saturable transport system for orotate, with the rate limiting step being the conversion of orotate to UMP.
25 pmol uridine formed per minute per 10 red cells. "	"25 pmol / min / 1e10 cells
* (1 mmol / 1e9 pmol)
* (60 min / hr)
* (1 cell / 100e-15 L cell)"
EX_pc_hs_e	Phosphatidylcholine (PC) exchange	pc_hs_e <=> 	Pseudoreactions	exchange	-0.001485	0.0007425	mmol / (hr * L cells)	DOI:10.11482/KMJ-E15(3.4)113	"Erythrocytes from nine healthy subjects at 37 C, PC uptake: 81.4 (11.4) nmol / 10e10 cells / 6 hours
PC efflux: 49.8% (8.1)"	"81.4 nmol / 10e10 cells / 6 hours
* (1 mmol / 1e6 nmol)
* (1 cell / 100e-15 L cells)"
EX_FA_hs_16_0_e	Hexadecanoate exchange	FA_hs_16_0_e <=>	Pseudoreactions	exchange	-0.00057	DEFAULT	mmol / (hr * L cells)	pubmed:4005276	"Increasing concentrations of radiolabelled palmitic acid were added to CoA- and ATP-loaded ghosts, and acyl-CoA synthesis was measured after 5 min incubation at 37 C. Incubations had final protein concentration of 100 ug protein / mL solution. Vmax = 0.095 nmol acyl-CoA / min / mg protein "	"0.095 nmol / (min * mg protein)
* (1 mmol / 1e6 nmol)
* (100 ug protein / 1 mL)
* (1 mg protein / 1e3 ug protein)
* (1e3 mL / 1 L )
* (60 min / 1 hr)"
EX_spmd_e	Spermidine exchange	spmd_e <=> 	Pseudoreactions	exchange	-0.00052	2.08E-05	mmol / (hr * L cells)	pubmed:6303631	"4e9 erythrocytes incubated with 2 nmol of polyamine, uptake linear for first hour when incubated in plasma. Spermidine uptake: 8.8 to 130.8 pmol in 1 hr for plasma, 15.4 to 223.4 pmol for 1 hr in serum. Uptake greater in serum than plasma.
Efflux, same conditions, presence of serum ~ 4% and plasma ~6% after 1 hour."	"(223.4 - 15.4) pmol / 1 hr / 4e9 cells
* (1 mmol / 1e9 pmol)
* (1 cell / 100e-15 L cell)"
EX_lpc_hs_e	Lysophosphatidylcholine (LPC) exchange	lpc_hs_e <=> 	Pseudoreactions	exchange	-0.0005	DEFAULT	mmol / (hr * L cells)	DOI:10.11482/KMJ-E15(3.4)113	"Erythrocytes from nine healthy subjects at 37 C, LPC uptake: ~30 (5) nmol / 10e10 cells / 6 hours"	"30 nmol / 10e10 cells / 6 hours
* (1 mmol / 1e6 nmol)
* (1 cell / 100e-15 L cells)"
EX_ptrc_e	Putrescine exchange	ptrc_e <=> 	Pseudoreactions	exchange	-0.000395	0.00013825	mmol / (hr * L cells)	pubmed:6303631	"4e9 erythrocytes incubated with 2 nmol of polyamine, uptake linear for first hour when incubated in plasma. Putresciene uptake: 1.6 to 85.8 pmol in 1 hr for plasma, 13.4 to 171.4 pmol for 1 hr in serum. Uptake greater in serum than plasma.
Efflux, same conditions, presence of serum ~ 35% and plasma ~20% after 1 hour."	"(171.4 - 13.4) pmol / 1 hr / 4e9 cells
* (1 mmol / 1e9 pmol)
* (1 cell / 100e-15 L cell)"
