reactions	name	reaction	subsystem	type	lower_bound	upper_bound	unit	references	notes	conversions
EX_thm_e	Thiamin exchange	thm_e <=> 	Pseudoreactions	exchange	-0.0001434	DEFAULT	mmol / (hr * L cells)	pubmed:2283678	Thiamin transport in human erythrocytes 37 C. Vmax = 0.01 pmol / (uL cell water * 3 min)	"0.01 pmol / (uL water * 3 min)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1e6 uL / 1 L)
* (0.717 L water / L cell)"
EX_sprm_e	Spermine exchange	sprm_e <=> 	Pseudoreactions	exchange	-0.000115	5.75E-06	mmol / (hr * L cells)	pubmed:6303631	"4e9 erythrocytes incubated with 2 nmol of polyamine, uptake linear for first hour when incubated in plasma. Spermine uptake: 1.6 to 20.8 pmol in 1 hr for plasma, 4.6 to 50.6 pmol for 1 hr in serum. Uptake greater in serum than plasma.
Efflux, same conditions, presence of serum ~ 5% and plasma ~12% after 1 hour."	"(50.6 - 4.6) pmol / 1 hr / 4e9 cells
* (1 mmol / 1e9 pmol)
* (1 cell / 100e-15 L cell)"
EX_5mthf_e	5-methyl-tetrahydrofolate exchange	5mthf_e <=> 	Pseudoreactions	exchange	-0.0000564	2.16E-05	mmol / (hr * L cells)	pubmed:659590	"Human erythrocytes in energy-deplete conditions, depleted conditions, 5-methyltetrahydrofolate countertransport influx at 37 C. Vmax = 0.094 pmol/(1e9 cells* min)
Human erythrocytes in energy-deplete conditions, control conditions, 5-methyltetrahydrofolate countertransport efflux at 37 C. Vmax = 0.036 (0.003) pmol/(1e9 cells* min)"	"0.094 pmol/(1e9 cells* min)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1 cell / 100e-15 L cell)
0.036 pmol/(1e9 cells* min)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1 cell / 100e-15 L cell)"
EX_dhlipoate_e	Dihydrolipoate exchange	dhlipoate_e <=> 	Pseudoreactions	exchange	DEFAULT	0.9	mmol / (hr * L cells)	pubmed:7632170	"The data reported here are restricted to measurements of dihydrolipoate released by erythrocytes into the medium. Estimation from Figure 3, effects of glucose and deoxyglucose on lipoic acid reduction by normal erythrocytes. Hematocrit = 20%. T = 37. Lipoic acid = 500 uM.
At ~20 min, 70 uM dihydrolipoate released ~= 3.5 uM / min
At ~40 min, 140 uM dihydrolipoate released ~= 3.5 uM / min
At ~80 min, 220 uM dihydrolipoate released ~= 2.75 uM / min
In Figure 5,
At ~15 min, ~25 uM dihydrolipoate released ~= 1.67 uM / min
At ~30 min, ~65 uM dihydrolipoate released ~= 2.167 uM / min
Given approximations, use ~ 3 uM / min to be safe"	"3 umol / min / 0.2 L cells
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
EX_gthno_e	S-nitrosoglutathione exchange	gthno_e <=> 	Pseudoreactions	exchange	DEFAULT	0.9	mmol / (hr * L cells)	pubmed:16023102	"Initial formation rates of GSNO and L -cysteine in the cytosol of washed RBC (1.5 ml) after 3-min incubation with di_erent concentrations of L -SNC (0–2 mM) in physiological saline (1.5 ml).
Vmax with regards to cytosolic cysteine were estimated graphically. GSNO formation Vmax = 15 uM / min. Assume transport corresponds to Vmax of GSNO formation. Export likely through ABC transporter, erythrocyte is otherwise impermeable to GTHNO "	"15 umol / (L cells * min)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
EX_gthox_e	Oxidized glutathione exchange	gthox_e <=>	Pseudoreactions	exchange	DEFAULT	2.14	mmol / (hr * L cells)	pubmed:20498365	"Human erythrocytes at 37 C, efflux. Reported Vmax = 2.14 * 1e3 umol / (L cells * hr)
Modeled value for matching experimental data (pubmed:20498365)"	"2.14 * 1e3 umol / (L cells * hr)
* (1 mmol / 1e3 umol)"
EX_gua_e	guanine exchange	gua_e <=> 	Pseudoreactions	exchange	DEFAULT	0.06	mmol / (hr * L cells)	pubmed:4072092	Human erythrocytes incubated at 37C and pH 7.4. Higher guanosine affluent (~ 60 umol/L extracellular guanosine). Value determined to be <0.03 mmol / (L cells * hr)
EX_normete__L_e	L-normetanephrine exchange	normete__L_e <=>	Pseudoreactions	exchange	DEFAULT	0.0069	mmol / (hr * L cells)	pubmed:4628221	Vmax of 1.38 x10 * 1e-5 M per 2 hours for the conversion of 14C-labeled norepinephrine to its 3-O-methylated derivative in platelet free blood in vitro	"1.38 *1e-5 mol / (L cells * 2 hr)
* (1e3 mmol / mol)"
EX_seln_e	selenide exchange	seln_e <=> 	Pseudoreactions	exchange	DEFAULT	0.081	mmol / (hr * L cells)	pubmed:32652143	"Selenide efflux w/Albumin:
Expressed as a percentage of selenium remaining compared to control, which is 36 pmol at t = 0. Approximately 25% of selenium is remaining after 60 minutes of incubation w/ physiological levels of Albumin"	"(36 * (1 - 0.25)) pmol / (min * (200 * 0.1) uL cells)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1e6 uL cells / 1 L cells)"
EX_sph1p_e	sphinganine-1-phosphate exchange	sph1p_e <=> 	Pseudoreactions	exchange	DEFAULT	5.00E-05	mmol / (hr * L cells)	pubmed:17215483	"Serum/plasma present determines maximal S1P and DH-S1P release from erythrocytes, with pure plasma required for maximal release. Experiments conducted at 37 C with concentration of RBCs as 1e10 cells / mL. According to figure 4B, supernatant S1P 400 pmol/ml at t=0, and 100 pmol/ml at t=6 hrs."	"(400 - 100) pmol /((6 - 0) hr * mL cells)
* (1 mmol / 1e9 pmol)
* (1e3 mL / 1 L)"
EX_sphs1p_e	sphingosine-1-phosphate exchange	sphs1p_e <=> 	Pseudoreactions	exchange	DEFAULT	0.00015	mmol / (hr * L cells)	pubmed:17215483	"Serum/plasma present determines maximal S1P and DH-S1P release from erythrocytes, with pure plasma required for maximal release. Experiments conducted at 37 C with concentration of RBCs as 1e10 cells / mL. According to figure 4B, supernatant S1P 700 pmol/ml at t=0, and 1600 pmol/ml at t=6 hrs."	"(1600 - 700) pmol /((6 - 0) hr * mL cells)
* (1 mmol / 1e9 pmol)
* (1e3 mL / 1 L)"
EX_pnto__R_e	pantothenate exchange	pnto__R_e <=> 	Pseudoreactions	exchange	-0.0000218	DEFAULT	mmol / (hr * L cells)	pubmed:19584050	"Pantothenate taken up over 78 hours at 37C. Mean (SE): 0.17 (0.02) umol/1e12 cells.
Only [14C]pantothenate and [14C]CoA (and none of the intermediates in the CoA biosynthesis pathway) in human erythrocytes were detected.
Transport, then PANK are the rate-limiting step in CoA biosynthesis in human erythrocytes."	"0.17 umol/1e12 cells/78 hr
* (1 mmol / 1e3 umol)
* (1 cell / 100e-15 L)"
EX_ergoth_e	Transport of Ergothioneine	ergoth_e <=> 	Pseudoreactions	exchange	-3	DEFAULT	mmol / (hr * L cells)	pubmed:10491340	"Cells were incubated at a 20% (w/v) haematocrit at 37 C in PBS containing 5 mM
D-glucose and 1 mM ERT. After 2 hours in 5 mM extracellular ERT, 1200 uM uptake. Uptake varies considerably with donor, maximum value used. "	"1200 umol / (0.2 L cells * 2 hr)
* (1 mmol / 1e3 umol)"
EX_glc__aD_e	alpha-D-glucose exchange	glc__aD_e <=>	Pseudoreactions	exchange	-3	0	mmol / (hr * L cells)	pubmed:38270467	"Under mechanical stress, glycolytic flux can increase up to ~80%. Therefore, assume 2x increase from glucose uptake of ~1.5 as measured under deoxygenated conditions."
EX_glc__D_e	beta-D-glucose exchange	glc__D_e <=>	Pseudoreactions	exchange	-3	0	mmol / (hr * L cells)	pubmed:38270467	"Under mechanical stress, glycolytic flux can increase up to ~80%. Therefore, assume 2x increase from glucose uptake of ~1.5 as measured under deoxygenated conditions."
CADPRIBHe	Cyclic-ADP-ribose hydrolase	cadprib_e + h2o_e --> adprib_e	Nicotinate and nicotinamide metabolism	extracellular	0	0.2075	mmol / (hr * L cells)	pubmed:8461019	"Washed human erythrocytes incubated at 37 C (Hct = 0.42). From cADPR, 29.05 nmol ADPR produced/mL packed cells/20 min. Variability is <20%"	"29.05 nmol / 0.42 mL cells / 20 min
* (1 mmol / 1e6 nmol)
* (1e3 mL cells/ 1 L cells)
* (60 min / 1 hr)"
NADLe	NAD+ nicotinamide-lyase (cyclic-ADP-ribose-forming)	nad_e --> cadprib_e + h_e + ncam_e	Nicotinate and nicotinamide metabolism	extracellular	0	0.0135	mmol / (hr * L cells)	pubmed:8461019	"Washed human erythrocytes incubated at 37 C (Hct = 0.42). From NAD, 1.86 nmol cADPR produced/mL packed cells/20 min. Variability is <20%"	"1.89 nmol / 0.42 mL cells / 20 min
* (1 mmol / 1e6 nmol)
* (1e3 mL cells/ 1 L cells)
* (60 min / 1 hr)"
NTPAe	NTP phosphohydrolase (ATP)	atp_e + h2o_e --> adp_e + h_e + pi_e	Nucleotide metabolism	extracellular	0	0.0168	mmol / (hr * L cells)	pubmed:21921036	"Ecto-ATPase activity was extremely low in mature human erythrocytes (_28 fmol * (1e6 cells min)_1), but nevertheless physiologically relevant considering the high density of erythrocytes in human blood."	"0.028 pmol / (min * 1e6 cells)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1 cell / 100e-15 L cell)"
ALATA_L	L-alanine transaminase	akg_c + ala__L_c <=> glu__L_c + pyr_c	"Alanine, aspartate and glutamate metabolism"	intracellular	-0.917	0.917	mmol / (hr * L cells)	pubmed:20498365	"Human erythrocytes at 37 C, Reported Vmax (SE) = 0.917 (0.29) mmol / (L cells * hr)
Stated in pubmed:20498365, measured in hemolysates"	0.917 mmol / (L cells * hr)
GLUN	Glutaminase	gln__L_c + h2o_c --> glu__L_c + nh4_c	"Alanine, aspartate and glutamate metabolism"	intracellular	0	10.5	mmol / (hr * L cells)	pubmed:20498365	"Human erythrocytes at 37 C, Reported Vmax = 10.5 mmol / (L cells * hr).
Stated in pubmed:20498365, citing pubmed:14038604"	10.5 mmol / (L cells * hr)
G6PDA	Glucosamine-6-phosphate deaminase	gam6p_c + h2o_c <=> f6p_c + nh4_c	Amino sugar and nucleotide sugar metabolism	intracellular	-0.014384813	0.014384813	mmol / (hr * L cells)	pubmed:7577655	"Partially purified Glucosamine-6-phosphate deaminase enzyme Vmax used to calculate specific activity: 96.3 nmol / h / mg protein, 12.5 ug protein in mixture, total volume of 60 uL "	"96.3 nmol / h / mg protein * (12.5 ug protein / 60 uL water)
* (1 mmol / 1e6 nmol)
* (1 mg / 1e3 ug)
* (1e6 uL / 1 L water)
* (0.717 L water / 1 L cells)"
ACGAMK	N-acetylglucosamine kinase	acgam_c + atp_c --> acgam6p_c + adp_c + h_c	Amino sugar and nucleotide sugar metabolism	intracellular	0	0.036820084	mmol / (hr * L cells)	pubmed:8982040	"Partially purified N-acetylglucosamine kinase enzyme Vmax used to calculate specific activity: 5.5 nmol / h / mg protein, 0.96 mg protein in mixture, total volume of 200 uL "	"5.5 nmol / h / mg protein * (0.96 mg protein / 200 uL water)
* (1 mmol / 1e6 nmol)
* (1e6 uL / 1 L water)
* (1 L water / 0.717 L cells)"
AGDC	N-acetylglucosamine-6-phosphate deacetylase	acgam6p_c + h2o_c --> ac_c + gam6p_c	Amino sugar and nucleotide sugar metabolism	intracellular	0	0.003464435	mmol / (hr * L cells)	pubmed:8982040	"Partially purified N-acetylglucosamine kinase enzyme Vmax used to calculate specific activity: 6.21 nmol / h / mg protein, 40 ug protein in mixture, total volume of 100 uL "	"6.21 nmol / h / mg protein * (40 ug protein / 100 uL water)
* (1 mmol / 1e6 nmol)
* (1 mg / 1e3 ug)
* (1e6 uL / 1 L water)
* (1 L water / 0.717 L cells)"
HEX10	Hexokinase (D-glucosamine:ATP)	atp_c + gam_c --> adp_c + gam6p_c + h_c	Amino sugar and nucleotide sugar metabolism	intracellular	0	5.64	mmol / (hr * L cells)	pubmed:7061426;DOI:10.1515/9783111433998-035	"Activity defined as 1 pmol of ADP/min at 37 C. 47%, 47%, and 21% of maximal velocity relative to glucose using D(+)-glucosamine, Hexokinase Ia, Ib, and Ic respectively, Hexokinase Ia values used.
Activity measured at 37 C. Hexokinase has the lowest capacity among the glycolytic enzymes (12 umol/mL cells * hr), and operates at a higher fraction of its maximal activity than all other enzymes of the glycolytic chain
Vmax = 12 umol / (mL cells * hr) [pubmed:4421639]"	"(47/100) * 12 umol / (mL cells * hr)
* (1 mmol / 1e3 umol)
* (1e3 mL / 1 L)"
THGDPK	Nucleoside-diphosphate kinase (ATP:6TGDP)	atp_c + thiogdp_c <=> adp_c + thiogtp_c	Azathioprine and 6-mercaptopurine metabolism	intracellular	-0.0042	0.0042	mmol / (hr * L cells)	pubmed:6525168	"Approximate enzymatic activity in human erythrocytes, given as uM units / mL erythrocytes: 70 pmol / min / mL cells"	"70 pmol / min / mL cells
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1e3 mL cells / 1 L cells)"
THGMPK	Guanylate kinase (6-thioguanosine monophosphate)	atp_c + thiogmp_c <=> adp_c + thiogdp_c	Azathioprine and 6-mercaptopurine metabolism	intracellular	-0.000018	1.80E-05	mmol / (hr * L cells)	pubmed:6525168	"Approximate enzymatic activity in human erythrocytes, given as uM units / mL erythrocytes: 0.3 pmol / min / mL cells"	"0.3 pmol / min / mL cells
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1e3 mL cells / 1 L cells)"
THIOGSNPNP	Purine-nucleoside phosphorylase (guanosine)	thiogsn_c + pi_c --> thiogua_c + r1p_c	Azathioprine and 6-mercaptopurine metabolism	intracellular	0	0.00102	mmol / (hr * L cells)	pubmed:6525168	"Approximate enzymatic activity in human erythrocytes, given as uM units / mL erythrocytes: 17 pmol / min / mL cells"	"17 pmol / min / mL cells
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1e3 mL cells / 1 L cells)"
THIOGUAPRT	6-Thioguanine phosphoribosyltransferase	prpp_c + thiogua_c --> ppi_c + thiogmp_c	Azathioprine and 6-mercaptopurine metabolism	intracellular	0	1.80E-05	mmol / (hr * L cells)	pubmed:6525168	"Approximate enzymatic activity in human erythrocytes, given as uM units / mL erythrocytes: 0.3 pmol / min / mL cells"	"0.3 pmol / min / mL cells
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1e3 mL cells / 1 L cells)"
MTAP	5-methylthioadenosine phosphorylase	5mta_c + pi_c <=> 5mdr1p_c + ade_c	Cysteine and methionine metabolism	intracellular	-3.96	3.96	mmol / (hr * L cells)	pubmed:6838867	"5-methylthioadenosine phosphorylase: 6.6 pmol / (min * 1e6 cells)
Assays at 37 C, calculated assuming 12.91 uL water for 20 uL packed RBCs which also corresponds to 2e8 cells, equivalenty 100 uL of suspension. "	"6.6 pmol / (min * 1e6 cells)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1 cell / 100e-15 L cell)"
NACCYSDAC	N-acetyl L-cysteine deaceylase	naccys__L_c + h2o_c --> cys__L_c + ac_c	Cysteine and methionine metabolism	intracellular	0	0.1566	mmol / (hr * L cells)	pubmed:17544838	Mean (SE) Vmax= 2.61 (0.08) umol /(L RBC cell volume *min) for deacetylation	"2.61 umol /(min * L cell)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
2OHE1MT	S-Adenosyl-L-methionine:2-hydroxyestrone O-methyltransferase (2-OH)	2hoxe1_c + amet__L_c --> 2mtoxe1_c + ahcys__L_c + h_c	Estrogen metabolism	intracellular	0	0.007	mmol / (hr * L cells)	pubmed:925137	"Under in vitro conditions, the rate of conversion of 2-hydroxyestrone to 2-methoxyestrone by human RBC's was such that 7 nmol of 2-methoxyestrone were formed per h per ml of RBC."	"7 nmol / (mL cells * hr)
* (1 mmol / 1e6 nmol)
* (1e3 mL / 1 L)"
2OHE1MT2	S-Adenosyl-L-methionine:2-hydroxyestrone O-methyltransferase (3-OH)	2hoxe1_c + amet__L_c --> 2hox3mtoxe1_c + ahcys__L_c + h_c	Estrogen metabolism	intracellular	0	0.005939394	mmol / (hr * L cells)	pubmed:925137;pubmed:11559542	"Under in vitro conditions, the rate of conversion of 2-hydroxyestrone to 2-methoxyestrone by human RBC's was such that 7 nmol of 2-methoxyestrone were formed per h per ml of RBC.
From pubmed:11559542, 2-OH-3-MeOE1, mean (SD) kcat = 2.8 (0.4) 1/min
From pubmed:11559542, 2-MeOE1, mean (SD) kcat = 3.3 (0.2) 1/min"	"(2.8/3.3) * 7 nmol / (mL cells * hr)
* (1 mmol / 1e6 nmol)
* (1e3 mL / 1 L)"
2OHE2MT	S-Adenosyl-L-methionine:2-hydroxy-17beta-estradiol O-methyltransferase (2-OH)	2hoxe2_c + amet__L_c --> 2mtoxe2_c + ahcys__L_c + h_c	Estrogen metabolism	intracellular	0	0.014424242	mmol / (hr * L cells)	pubmed:925137;pubmed:11559542	"Under in vitro conditions, the rate of conversion of 2-hydroxyestrone to 2-methoxyestrone by human RBC's was such that 7 nmol of 2-methoxyestrone were formed per h per ml of RBC.
From pubmed:11559542, 2-MeOE2, mean (SD) kcat = 6.8 (0.4) 1/min
From pubmed:11559542, 2-MeOE1, mean (SD) kcat = 3.3 (0.2) 1/min"	"(6.8/3.3) * 7 nmol / (mL cells * hr)
* (1 mmol / 1e6 nmol)
* (1e3 mL / 1 L)"
2OHE2MT2	S-Adenosyl-L-methionine:2-hydroxy-17beta-estradiol O-methyltransferase (3-OH)	2hoxe2_c + amet__L_c --> 2hox3mtoxe2_c + ahcys__L_c + h_c	Estrogen metabolism	intracellular	0	0.003181818	mmol / (hr * L cells)	pubmed:925137;pubmed:11559542	"Under in vitro conditions, the rate of conversion of 2-hydroxyestrone to 2-methoxyestrone by human RBC's was such that 7 nmol of 2-methoxyestrone were formed per h per ml of RBC.
From pubmed:11559542, 2-OH-3-MeOE2, mean (SD) kcat = 1.5 (0.1) 1/min
From pubmed:11559542, 2-MeOE1, mean (SD) kcat = 3.3 (0.2) 1/min"	"(1.5/3.3) * 7 nmol / (mL cells * hr)
* (1 mmol / 1e6 nmol)
* (1e3 mL / 1 L)"
4OHE1MT	S-Adenosyl-L-methionine:4-hydroxyestrone O-methyltransferase	4hoxe1_c + amet__L_c --> 4mtoxe1_c + ahcys__L_c + h_c	Estrogen metabolism	intracellular	0	0.014212121	mmol / (hr * L cells)	pubmed:925137;pubmed:11559542	"Under in vitro conditions, the rate of conversion of 2-hydroxyestrone to 2-methoxyestrone by human RBC's was such that 7 nmol of 2-methoxyestrone were formed per h per ml of RBC.
From pubmed:11559542, 4-MeOE1, mean (SD) kcat = 6.7 (0.4) 1/min
From pubmed:11559542, 2-MeOE1, mean (SD) kcat = 3.3 (0.2) 1/min"	"(6.7/3.3) * 7 nmol / (mL cells * hr)
* (1 mmol / 1e6 nmol)
* (1e3 mL / 1 L)"
4OHE2MT	S-Adenosyl-L-methionine:4-hydroxy-17beta-estradiol O-methyltransferase	4hoxe2_c + amet__L_c --> 4mtoxe2_c + ahcys__L_c + h_c	Estrogen metabolism	intracellular	0	0.007212121	mmol / (hr * L cells)	pubmed:925137;pubmed:11559542	"Under in vitro conditions, the rate of conversion of 2-hydroxyestrone to 2-methoxyestrone by human RBC's was such that 7 nmol of 2-methoxyestrone were formed per h per ml of RBC.
From pubmed:11559542, 4-MeOE2, mean (SD) kcat = 3.4 (0.2) 1/min
From pubmed:11559542, 2-MeOE1, mean (SD) kcat = 3.3 (0.2) 1/min"	"(3.4/3.3) * 7 nmol / (mL cells * hr)
* (1 mmol / 1e6 nmol)
* (1e3 mL / 1 L)"
FACOAL_16_0	Fatty acid CoA ligase (CoA 16:0)	FA_hs_16_0_c + atp_c + coa_c --> FAcoa_hs_16_0_c + amp_c + ppi_c	Fatty acid activation (cytosolic)	intracellular	0	0.00057	mmol / (hr * L cells)	pubmed:4005276	"Increasing concentrations of radiolabelled palmitic acid were added to CoA- and ATP-loaded ghosts, and acyl-CoA synthesis was measured after 5 min incubation at 37 C. Incubations had final protein concentration of 100 ug protein / mL solution. Vmax = 0.095 nmol acyl-CoA / min / mg protein "	"0.095 nmol / (min * mg protein)
* (1 mmol / 1e6 nmol)
* (100 ug protein / 1 mL)
* (1 mg protein / 1e3 ug protein)
* (1e3 mL / 1 L )
* (60 min / 1 hr)"
FRU3K	Fructose 3-kinase	atp_c + fru_c --> adp_c + f3p_c + h_c	Fructose and mannose metabolism	intracellular	0	0.6	mmol / (hr * L cells)	pubmed:1599419	Apparent Vmax = 0.6 umol / (hr * mL cells) 	"0.6 umol / (hr * mL cells)
* (1e3 mL cells / 1 L cells)
* (1 mmol / 1e3 umol)"
HEX4	Hexokinase (D-mannose:ATP)	atp_c + man_c --> adp_c + h_c + man6p_c	Fructose and mannose metabolism	intracellular	0	9.6	mmol / (hr * L cells)	pubmed:7061426;DOI:10.1515/9783111433998-035	"Activity defined as 1 pmol of ADP/min at 37 C. 78% 83%, 85& of maximal velocity relative to glucose using D(+)-mannose, Hexokinase Ia, Ib, and Ic respectively. Hexokinase Ia values used.
Activity measured at 37 C. Hexokinase has the lowest capacity among the glycolytic enzymes (12 umol/mL cells * hr), and operates at a higher fraction of its maximal activity than all other enzymes of the glycolytic chain
Vmax = 12 umol / (mL cells * hr) [pubmed:4421639]"	"(80/100) * 12 umol / (mL cells * hr)
* (1 mmol / 1e3 umol)
* (1e3 mL / 1 L)"
HEX7	Hexokinase (D-fructose:ATP)	atp_c + fru_c --> adp_c + f6p_c + h_c	Fructose and mannose metabolism	intracellular	0	12	mmol / (hr * L cells)	pubmed:7061426;DOI:10.1515/9783111433998-035	"Activity defined as 1 pmol of ADP/min at 37 C. 100%,120%, and 90% of maximal velocity relative to glucose using D(-)-fructose, Hexokinase Ia, Ib, and Ic respectively, Hexokinase Ia values used.
Activity measured at 37 C. Hexokinase has the lowest capacity among the glycolytic enzymes (12 umol/mL cells * hr), and operates at a higher fraction of its maximal activity than all other enzymes of the glycolytic chain
Vmax = 12 umol / (mL cells * hr) [pubmed:4421639]"	"(100/100) * 12 umol / (mL cells * hr)
* (1 mmol / 1e3 umol)
* (1e3 mL / 1 L)"
SBTRa	D-Glucitol:NADP+ 1-oxidoreductase	glc__aD_c + h_c + nadph_c --> nadp_c + sbt__D_c	Fructose and mannose metabolism	intracellular	0	0.75	mmol / (hr * L cells)	pubmed:3082363	"Blood samples were incubated with varying concentrations of glucose for 6 h at 37 C, enzyme was quantitated after partial purification by DE-52. At 50 mM, max measured value for activiation. Mean (SD) Aldose reductase w/ glucose: 12.5 (0.9) munits / mL cells"	"12.5 munits / mL cells
* ((1 nmol / min) / 1 munit)
* (1 mmol / 1e6 nmol)
* (60 min / 1 hr)
* (1e3 mL cells / 1 L cells)"
TRIOK	Triokinase	atp_c + glyald_c --> adp_c + g3p_c + h_c	Fructose and mannose metabolism	intracellular	0	2.571428571	mmol / (hr * L cells)	pubmed:4688871	Using approximate conversion of 0.35 U per g Hb ~= 0.1 U/mL cells and normal DHA kinase activity of 0.15 (0.011) U / g Hb. Activity using DHA and GA is approximately the same.	"((0.15 U / g Hb)/(0.35 U / g Hb)) * (0.1 U / mL cells)
* (1e3 mL cells / 1 L cells)
* (1 umol / min / 1 U)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
GGLUCTC	Gamma-glutamylcyclotransferase (L-cysteine)	gglucys__L_c --> 5oxpro_c + cys__L_c	Glutathione metabolism	intracellular	0	2.24	mmol / (hr * L cells)	pubmed:20498365	"Human erythrocytes at 37 C,Mean (SE): Vmax = 2.24 mmol / (L cells * hr)
Modeled value for matching experimental data (pubmed:20498365)"	2.24 mmol / (L cells * hr)
GLUCYS	Gamma-glutamylcysteine synthetase	atp_c + cys__L_c + glu__L_c --> adp_c + gglucys__L_c + h_c + pi_c	Glutathione metabolism	intracellular	0	14	mmol / (hr * L cells)	pubmed:20498365	"Human erythrocytes at 37 C,Mean (SE): Vmax = 14 mmol / (L cells * hr).
Modeled value for matching experimental data (pubmed:20498365)"	14 mmol / (L cells * hr)
GTHOy	Glutathione oxidoreductase (NADPH)	gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c	Glutathione metabolism	intracellular	0	154.2	mmol / (hr * L cells)	DOI:10.1515/9783111433998-035	"Activity measured at 37 C. Normal value = 25.7 (3.0) U / 1e11 cells
1 U = 1 umol substrate converted/1 min. U per 1e11 cells corresponds to about 0.35 U per g Hb ~= 0.1 U/mL cells (DOI:10.1515/9783111433998-035)"	"25.7 * 0.1 U/mL cells
* (1e3 mL / 1 L)
* (1 umol / 1 min / 1 U)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
GTHS	Glutathione synthetase (Gamma-L-glutamyl-L-cysteine)	atp_c + gglucys__L_c + gly_c --> adp_c + gthrd_c + h_c + pi_c	Glutathione metabolism	intracellular	0	20.4	mmol / (hr * L cells)	pubmed:20498365;pubmed:15693022	"Human erythrocytes at 37 C, Reported Vmax (SE) = 20.4 (1.6) mmol / (L cells * hr).
Stated in pubmed:20498365, citing pubmed:15693022"	20.4 mmol / (L cells * hr)
ALCD19y	Glycerol:NADP+ oxidoreductase	glyald_c + h_c + nadph_c --> glyc_c + nadp_c	Glycerolipid metabolism	intracellular	0	2.784	mmol / (hr * L cells)	pubmed:3082363	"Blood samples were incubated with varying concentrations of glucose for 6 h at 37 C, enzyme was quantitated after
partial purification by DE-52. At 50 mM, max measured value for activiation. Mean (SD) Aldose reductase w/ glyceraldehyde: 46.4 (8.0) munits / mL cells"	"46.4 munits / mL cells
* ((1 nmol / min) / 1 munit)
* (1 mmol / 1e6 nmol)
* (60 min / 1 hr)
* (1e3 mL cells / 1 L cells)"
DHAK	Dihydroxyacetone kinase	atp_c + dha_c --> adp_c + dhap_c + h_c	Glycerolipid metabolism	intracellular	0	2.571428571	mmol / (hr * L cells)	pubmed:4688871	Using approximate conversion of 0.35 U per g Hb ~= 0.1 U/mL cells and normal DHA kinase activity of 0.15 (0.011) U / g Hb. Activity using DHA and GA is approximately the same.	"((0.15 U / g Hb)/(0.35 U / g Hb)) * (0.1 U / mL cells)
* (1e3 mL cells / 1 L cells)
* (1 umol / min / 1 U)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
MAGL1	Monoacylglycerol (MG) lipase	h2o_c + mag_hs_c --> FA_hs_c + glyc_c + h_c	Glycerolipid metabolism	intracellular	0	0.8928	mmol / (hr * L cells)	pubmed:7240371	"Activity in RBC from the cord blood of 16 normal infants was found to be 43% higher than that in adults, with an average activity of 1458 (174) mU (mean (SD))
Assays were carried out in at 37 C using ethyl [3H]oleate. Assume no distinction for 1(3) position or 2 position"	"1458 m-unit / 1e12 cells
* (1 nmol / min / m-unit)
* (1 mmol / 1e6 nmol)
* (60 min / 1 hr)
* (1 cell / 100e-15 L cell)"
