reactions	name	reaction	subsystem	type	lower_bound	upper_bound	unit	references	notes	conversions
MAGL2	Monoacylglycerol (MG) lipase	h2o_c + mag_hs_c --> FA_hs_c + glyc_c + h_c	Glycerolipid metabolism	intracellular	0	0.8928	mmol / (hr * L cells)	pubmed:7240371	"Activity in RBC from the cord blood of 16 normal infants was found to be 43% higher than that in adults, with an average activity of 1458 (174) mU (mean (SD))
Assays were carried out in at 37 C using ethyl [3H]oleate. Assume no distinction for 1(3) position or 2 position"	"1458 m-unit / 1e12 cells
* (1 nmol / min / m-unit)
* (1 mmol / 1e6 nmol)
* (60 min / 1 hr)
* (1 cell / 100e-15 L cell)"
LPCLPLB	Lysophosphatidylcholine (LPC) lysophospholipase B2	h2o_c + lpc_hs_c --> FA_hs_c + g3pc_c + h_c	Glycerophospholipid metabolism	intracellular	0	0.63	mmol / (hr * L cells)	pubmed:8444178;pubmed:6692003	"One activity unit was defined as the amount of enzyme which catalysed the release of 1 umol fatty acid/min at 37 C. With the value of 350 mg protein per L per mature human RBC, specific activity was calculated to be about 10.5 U/L/RBC with Roelofsen's data
stated in pubmed:8444178, citing pubmed:6692003."	"10.5 umol / min / L cells
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
LPCLPLD	Lysophosphatidylcholine (LPC) lysophospholipase D	h2o_c + lpc_hs_c --> chol_c + h_c + lpa_hs_c	Glycerophospholipid metabolism	intracellular	0	6.211764706	mmol / (hr * L cells)	pubmed:1318026	n = 8. Mean (SE) rate of GPC release of choline from hemolysate (Hct = 0.85) of one donors: 88 (14) umol / (hr * L lysate)	"88 umol / min / L hemolysate
* (L hemolysate / 0.85 L cells)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
PCPLD	Phosphatidylcholine (PC) phospholipase D	h2o_c + pc_hs_c --> chol_c + h_c + pa_hs_c	Glycerophospholipid metabolism	intracellular	0	6.847058824	mmol / (hr * L cells)	pubmed:1318026	n = 9. Mean (SE) rate of PC release of choline from hemolysate (Hct = 0.85) of one donors: 97 (26) umol / (hr * L lysate)	"97 umol / min / L hemolysate
* (L hemolysate / 0.85 L cells)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
PENMT2	Phosphatidyl-(N-methyl)-ethanolamine (PE-NMe) N-methyltransferase	amet__L_c + penme_hs_c --> ahcys__L_c + h_c + penme2_hs_c	Glycerophospholipid metabolism	intracellular	0	0.0000756	mmol / (hr * L cells)	pubmed:2722775	"Human erythrocytes assayed at 37C. Normally ~2 mg of RBC membrane protein/ml of packed RBCs. Varied AdoMet, PE 16:0/16:0: PME Vmax = 0.63 (0.05) pmol / min / mg"	"0.63 pmol / min / mg
* (2 mg protein / 1 mL cells)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)"
PENMT3	Phosphatidyl-(N-dimethyl)-ethanolamine (PE-NMe2) N-methyltransferase	amet__L_c + penme2_hs_c --> ahcys__L_c + h_c + pc_hs_c	Glycerophospholipid metabolism	intracellular	0	0.0000516	mmol / (hr * L cells)	pubmed:2722775	"Human erythrocytes assayed at 37C. Normally ~2 mg of RBC membrane protein/ml of packed RBCs. Varied AdoMet, PE 16:0/16:0: PDE Vmax = 0.43 (0.03) pmol / min / mg"	"0.43 pmol / min / mg
* (2 mg protein / 1 mL cells)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)"
GAPD	Glyceraldehyde-3-phosphate dehydrogenase	g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c	Glycolysis / Gluconeogenesis	intracellular	-3876	3876	mmol / (hr * L cells)	DOI:10.1515/9783111433998-035	"Activity measured at 37 C. Normal value = 646 (138.9) U / 1e11 cells, 13DPG --> G3P, assume forward=reverse
1 U = 1 umol substrate converted/1 min. U per 1e11 cells corresponds to about 0.35 U per g Hb ~= 0.1 U/mL cells (DOI:10.1515/9783111433998-035)"	"646 * 0.1 U/mL cells
* (1e3 mL / 1 L)
* (1 umol / 1 min / 1 U)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
TPI	Triose-phosphate isomerase	dhap_c <=> g3p_c	Glycolysis / Gluconeogenesis	intracellular	-3668.421053	41820	mmol / (hr * L cells)	pubmed:10477269	"697000 units / L erythrocytes, 37 C, pH 7.6.
Stated in pubmed:10477269, citing  (IBSN:9780808916727)."	"697000 units / L cells
* (1 umol / 1 min / 1 unit)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
PGK	Phosphoglycerate kinase	13dpg_c + adp_c <=> 3pg_c + atp_c	Glycolysis / Gluconeogenesis	intracellular	-2534.4	6336	mmol / (hr * L cells)	pubmed:10477269	"105600 units / L erythrocytes, 37 C, pH 7.6.
Stated in pubmed:10477269, citing (IBSN:9780808916727)
Calculated assuming activity in glycolytic direction is 2.5 times reverse direction "	"105600 units / L cells
* (1 umol / 1 min / 1 unit)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
PGI	Glucose-6-phosphate isomerase (beta-D-glucose 6-phosphate)	g6p_c <=> f6p_c	Glycolysis / Gluconeogenesis	intracellular	-1203.84	1003.2	mmol / (hr * L cells)	pubmed:10477269	"20064 units / L erythrocytes, 37 C, pH 7.6, reverse direction.
Stated in pubmed:10477269, citing pubmed:4421639;IBSN:9780808916727
The specific activity of the reverse reaction was found to be 1.2 times that of the forward reaction (pubmed:14408402)"	"20064 units / L cells
* (1 umol / 1 min / 1 unit)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
LDH_L	L-lactate dehydrogenase	h_c + nadh_c + pyr_c <=> lac__L_c + nad_c	Glycolysis / Gluconeogenesis	intracellular	-1070.27027	3960	mmol / (hr * L cells)	pubmed:10477269	"66000 units / L erythrocytes, 37 C, pH 7.6.
Stated in pubmed:10477269, citing (IBSN:9780808916727).
Forward reaction (PYR --> LAC) is 4.7 times that of the reverse reaction"	"66000 units / L cells
* (1 umol / 1 min / 1 unit)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
PGM	Phosphoglycerate mutase	3pg_c <=> 2pg_c	Glycolysis / Gluconeogenesis	intracellular	-746.64	746.64	mmol / (hr * L cells)	IBSN:9780808916727	Normal human erythrocyte activity in the reverse direction: 12444 U / L cells	"12444 umol / min / L cells
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
DPGM	Diphosphoglyceromutase	13dpg_c <=> 23dpg_c + h_c	Glycolysis / Gluconeogenesis	intracellular	-94.62	94.62	mmol / (hr * L cells)	IBSN:9780808916727	"Measured BPGS activity in human erythrocytes (1577 units/litre of erythrocytes, pH 7.6, 37 C)"	"1577 umol / min / L cells
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
FBA	Fructose-bisphosphate aldolase	fdp_c <=> dhap_c + g3p_c	Glycolysis / Gluconeogenesis	intracellular	-67.2	67.2	mmol / (hr * L cells)	DOI:10.1515/9783111433998-035	"Activity measured at 37 C. Normal value = 11.2 (1.9) U / 1e11 cells
1 U = 1 umol substrate converted/1 min. U per 1e11 cells corresponds to about 0.35 U per g Hb ~= 0.1 U/mL cells (DOI:10.1515/9783111433998-035)"	"11.2 * 0.1 U/mL cells
* (1e3 mL / 1 L)
* (1 umol / 1 min / 1 U)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
ENO	Enolase	2pg_c <=> h2o_c + pep_c	Glycolysis / Gluconeogenesis	intracellular	-28.57142857	108	mmol / (hr * L cells)	pubmed:10477269	"1800 units / L erythrocytes, 37 C, pH 7.6.
Stated in pubmed:10477269, citing (IBSN:9780808916727).
The maximal rate of the forward reaction has been reported to be 3.78 times that of the reverse reaction."	"1800 units / L cells
* (1 umol / 1 min / 1 unit)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
DPG3P	"2,3-bisphosphoglycerate 3-phosphatase"	23dpg_c + h2o_c --> 2pg_c + pi_c	Glycolysis / Gluconeogenesis	intracellular	0	0.6	mmol / (hr * L cells)	pubmed:18413611	"Indirect estimation of the capacity of MIPP1 to hydrolyze 2,3-BPG in vivo is 0.6 (0.05) mmol/liter of cells per h (n = 4).
Mean (SEM) at 37 C for HsMIPP1. Vmax = 15.8 (0.2) nmol/mg of protein per min, 40 ug protein, assay vol not explicitly stated but in cited methods paper, the assay volume was, ~0.1 to 0.2 mL, molecular weight of protein ~= 550551 g/mol."	"15.8 nmol / min / mg protein
* (1m mol / 1e6 nmol)
* (1 mg / 1e3 ug)
* (40 ug / 0.1 mL water)
* (1e3 mL / 1 L)
* (60 min / 1 hr)
* (1 L cell / 0.717 L water)"
DPGase	"2,3-bisphosphoglycerate 2-phosphatase"	23dpg_c + h2o_c --> 3pg_c + pi_c	Glycolysis / Gluconeogenesis	intracellular	0	0.84	mmol / (hr * L cells)	pubmed: 4317427	"Human erythrocyte 2,3-DPG phosphatase at 37 C with activator Pi. Vmax in the presence of 0.1 M KC1 and saturating Pi is 0.84 pmole per hour per ml of cells."	"0.84 umol / (mL cells * hr)
* (1 mmol / 1e3 umol)
* (1e3 mL cells / 1 L cells)"
HEX1	Hexokinase (beta-D-glucose:ATP)	atp_c + glc__D_c --> adp_c + g6p_c + h_c	Glycolysis / Gluconeogenesis	intracellular	0	12	mmol / (hr * L cells)	pubmed:7061426;DOI:10.1515/9783111433998-035;pubmed:4421639	"Activity defined as 1 pmol of ADP/min at 37 C. 100%, 100%, and 100% of maximal velocity relative to glucose using D(+)-glucose, Hexokinase Ia, Ib, and Ic respectively. Hexokinase Ia values used.
Activity measured at 37 C. The basic glycolytic flux is adjusted to about one-tenth of the hexokinase via effectors.
Hexokinase has the lowest capacity among the glycolytic enzymes (12 umol/mL cells * hr), and operates at a higher fraction of its maximal activity than all other enzymes of the glycolytic chain
Vmax = 12 umol / (mL cells * hr) [pubmed:4421639]"	"(100/100) * 12 umol / (mL cells * hr)
* (1 mmol / 1e3 umol)
* (1e3 mL / 1 L)"
HEX1a	Hexokinase (alpha-D-glucose:ATP)	atp_c + glc__aD_c --> adp_c + g6p__aD_c + h_c	Glycolysis / Gluconeogenesis	intracellular	0	9.6	mmol / (hr * L cells)	pubmed:7061426;DOI:10.1515/9783111433998-035;pubmed:4421639;pubmed:3768015	"Activity defined as 1 pmol of ADP/min at 37 C. 100%, 100%, and 100% of maximal velocity relative to glucose using D(+)-glucose, Hexokinase Ia, Ib, and Ic respectively. Hexokinase Ia values used.
Activity measured at 37 C. The basic glycolytic flux is adjusted to about one-tenth of the hexokinase via effectors.
Hexokinase has the lowest capacity among the glycolytic enzymes (12 umol/mL cells * hr), and operates at a higher fraction of its maximal activity than all other enzymes of the glycolytic chain
Vmax = 12 umol / (mL cells * hr) [pubmed:4421639]
At 37 C, beta/alpha ratios of metabolism and phosphorylation of glucose at 2 mM were 1.24 and 1.22, respectively.  (pubmed:3768015)"	"(100/100) * 12 umol / (mL cells * hr)
* (1 mmol / 1e3 umol)
* (1e3 mL / 1 L)
* (1 / 1.25)"
PFK	Phosphofructokinase	atp_c + f6p_c --> adp_c + fdp_c + h_c	Glycolysis / Gluconeogenesis	intracellular	0	216	mmol / (hr * L cells)	pubmed:10477269	"3600 units / L erythrocytes, 37 C, pH 7.6.
Stated in pubmed:10477269, citing (IBSN:9780808916727)"	"3600 units / L cells
* (1 umol / 1 min / 1 unit)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
PYK	Pyruvate kinase	adp_c + h_c + pep_c --> atp_c + pyr_c	Glycolysis / Gluconeogenesis	intracellular	0	342	mmol / (hr * L cells)	DOI:10.1515/9783111433998-035	"Activity measured at 37 C. Normal value = 57.0 (11.9) U / 1e11 cells, assume forward=reverse
1 U = 1 umol substrate converted/1 min. U per 1e11 cells corresponds to about 0.35 U per g Hb ~= 0.1 U/mL cells (DOI:10.1515/9783111433998-035)"	"57.0 * 0.1 U/mL cells
* (1e3 mL / 1 L)
* (1 umol / 1 min / 1 U)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
OXYHBAOX	Auto-oxidation of oxyhemoglobin	oxyhb_c --> methb_c + o2s_c	Hemoglobin binding and degradation	intracellular	0.01	DEFAULT	mmol / (hr * L cells)	pubmed:10477269	In normal erythrocytes the rate of Fe(II) oxidation and subsequent reduction is 1.5% of the total subunit concentration per day [29]; in other words 10 umol / L erythrocytes / hr	"10 umol / (hr * L  cells)
* (1 mmol / 1e3 umol)"
LTA4H	Leukotriene A4 hydrolase	h2o_c + leuktrA4_c --> leuktrB4_c	Leukotriene metabolism	intracellular	0	0.0615186	mmol / (hr * L cells)	pubmed:2995393	Enzyme kinetics determined at 37 C. Vmax = 0.29 to 1.43 nmol LTB4 / ml / min	"1.43 nmol / (min * mL water)
* (1 mmol / 1e6 nmol)
* (60 min / 1 hr)
* (1e3 mL / 1 L)
* (0.717 L water / L cells)"
NTPPI	Nucleoside triphosphate pyrophosphorylase (ITP)	h2o_c + itp_c --> h_c + imp_c + ppi_c	Nucleotide metabolism	intracellular	0	5.16E-05	mmol / (hr * L cells)	pubmed:33191	"ITP pyrophosphohydrolase activity of human RBCs at 37 C, Vmax = 1.2 *1e-9 mol / min / L cell water"	"1.2 *1e-9 mol / min / L cell water
* (1e3 mmol / 1 mol)
* (60 min / 1 hr)
* (0.717 L cell water / 1 L cells)"
23CN3PA	"2',3'-cyclic-nucleotide 3'-phosphodiesterase (2-AMP)"	23camp_c + h2o_c --> 2amp_c + h_c	Nucleotide metabolism	intracellular	0	55.44	mmol / (hr * L cells)	pubmed:4333432	"Relative activity of CNPase Adenosine-2',3' cyclic phosphate: 100%. Packed erythrocytes (10 ml) were haemolysed, final membrane preparation produced 31.6 mg protein with 9.24 U total activity.
One unit (U) of enzyme is defined as the amount of enzyme that produces 1 umol per min at 37 under standard assay conditions. In hemolysate, total activity is 5.6, then increases suggesting that activity is unmasked."	"9.24 umol/min/10 mL cells
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)
* (1e3 mL cells / 1 L cells)"
23CN3PC	"2',3'-cyclic-nucleotide 3'-phosphodiesterase (2-CMP)"	23ccmp_c + h2o_c --> 2cmp_c + h_c	Nucleotide metabolism	intracellular	0	22.7304	mmol / (hr * L cells)	pubmed:4333432	"Relative activity of CNPase Guanosine-2',3' cyclic phosphate: 41%. Packed erythrocytes (10 ml) were haemolysed, final membrane preparation produced 31.6 mg protein with 9.24 U total activity.
One unit (U) of enzyme is defined as the amount of enzyme that produces 1 umol per min at 37 under standard assay conditions. "	"9.24 * 0.41 umol/min/10 mL cells
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)
* (1e3 mL cells / 1 L cells)"
23CN3PG	"2',3'-cyclic-nucleotide 3'-phosphodiesterase (2-GMP)"	23cgmp_c + h2o_c --> 2gmp_c + h_c	Nucleotide metabolism	intracellular	0	15.5232	mmol / (hr * L cells)	pubmed:4333432	"Relative activity of CNPase Cytidine-2',3' cyclic phosphate: 28%. Packed erythrocytes (10 ml) were haemolysed, final membrane preparation produced 31.6 mg protein with 9.24 U total activity.
One unit (U) of enzyme is defined as the amount of enzyme that produces 1 umol per min at 37 under standard assay conditions. "	"9.24 * 0.28 umol/min/10 mL cells
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)
* (1e3 mL cells / 1 L cells)"
23CN3PU	"2',3'-cyclic-nucleotide 3'-phosphodiesterase (2-UMP)"	23cump_c + h2o_c --> 2ump_c + h_c	Nucleotide metabolism	intracellular	0	7.2072	mmol / (hr * L cells)	pubmed:4333432	"Relative activity of CNPase Uridine-2',3' cyclic phosphate: 13%. Packed erythrocytes (10 ml) were haemolysed, final membrane preparation produced 31.6 mg protein with 9.24 U total activity.
One unit (U) of enzyme is defined as the amount of enzyme that produces 1 umol per min at 37 under standard assay conditions. "	"9.24 * 0.13  umol/min/10 mL cells
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)
* (1e3 mL cells / 1 L cells)"
PNTOK	ATP:pantothenate 4'-phosphotransferase	atp_c + pnto__R_c --> 4ppnto__R_c + adp_c + h_c	Pantothenate and CoA metabolism	intracellular	0	0.0032	mmol / (hr * L cells)	pubmed:9553068	"The rate of phosphorylation in normal uninfected erythrocyte lysates at 37 C, calculated using intracellular water volume 75 (4) fl (n = 16): 0.32 (0.07) _mol/(1e12 cells * h)
Transport, then PANK are the rate-limiting step in CoA biosynthesis in human erythrocytes."	"0.32 * umol/(1e12 cells * hr)
* (1 mmol / 1e3 umol)
* (1 cell / 100e-15 L cell)"
PGL	6-phosphogluconolactonase	6pgl_c + h2o_c <=> 6pgc_c + h_c	Pentose phosphate pathway	intracellular	-1440	1440	mmol / (hr * L cells)	pubmed:2141093;pubmed:4018089	"Activity at 37 C. Vmax = 1440 mmol / (L * hr)
Stated in pubmed:2141093, citing pubmed:4018089"
G6PDH2	Glucose 6-phosphate dehydrogenase	g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c	Pentose phosphate pathway	intracellular	0	183.6	mmol / (hr * L cells)	DOI:10.1515/9783111433998-035	"Activity measured at 37 C. Normal value = 30.6 (4.5) U / 1e11 cells, assume forward=reverse
1 U = 1 umol substrate converted/1 min. U per 1e11 cells corresponds to about 0.35 U per g Hb ~= 0.1 U/mL cells (DOI:10.1515/9783111433998-035)"	"30.6 * 0.1 U/mL cells
* (1e3 mL / 1 L)
* (1 umol / 1 min / 1 U)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
GND	Phosphogluconate dehydrogenase	6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c	Pentose phosphate pathway	intracellular	0	193.1598	mmol / (hr * L cells)	pubmed:4018089	"12 healthy donors, enzyme  assays weredone at pH 7.2, I = 0.15 M, 37 C. Mean (SD) Vmax = 4490 (300) umol / (L cell water * min) "	"4490  umol / (L cell water * min)
* (1 mmol / 1e3 umol)
* (0.717 L cell water / 1 L cells)
* (60 min / 1 hr)"
PRPPS	Phosphoribosylpyrophosphate synthetase	atp_c + r5p_c --> amp_c + h_c + prpp_c	Pentose phosphate pathway	intracellular	0	0.544	mmol / (hr * L cells)	pubmed:2141093	"Activity at 37 C. Vmax = 0.544 mmol / (L * hr)
Stated in pubmed:2141093"
PPBNGS	Delta-aminolevulinic acid dehydratase	2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c	Porphyrin metabolism	intracellular	0	2.513	mmol / (hr * L cells)	pubmed:900140	ALAD activity measured at 37 C in 89 control subjects. Assay meant to ensure maximal activity. Mean (SD) Vmax = 2513 (724) nmol PBG / (hr * mL cells)	"2513 nmol / (hr * mL cells)
* (1 mmol / 1e6 nmol)
* (1e3 mL cell / 1 L cells)"
UPPG3S	Uroporphyrinogen-III synthase	hmbil_c --> h2o_c + uppg3_c	Porphyrin metabolism	intracellular	0	0.0308	mmol / (hr * L cells)	pubmed:900140	UROS activity measured at 37 C in 59 control subjects. Mean (SD) Vmax = 30.8 (5.6) nmol uroporphyrinogen / (hr * mL cells)	"30.8 nmol / (hr * mL cells)
* (1 mmol / 1e6 nmol)
* (1e3 mL cell / 1 L cells)"
PROTKFRU3K	Protein fructosamine 3-kinase	atp_c + protres_frulys_c --> adp_c + h_c + protres_frulys3p_c	Protein modification	intracellular	0	0.6	mmol / (hr * L cells)	pubmed:1599419	The accumulation of Fru-3-P has an apparent Km of 30 mm with respect to the external fructose concentration and an apparent Vm of Fru-3-P formation of 0.6 umol/h per mL cells at 37C. May also refer to activity for protein.	"0.6 umol/(mL cells * hr)
* (1 mmol / 1e3 umol)
* (1e3 mL cells / 1 L cells)"
ADK1	Adenylate kinase (AMP:ATP)	amp_c + atp_c <=> 2.0 adp_c	Purine metabolism	intracellular	-5106	5106	mmol / (hr * L cells)	pubmed:10477269	"85100 units / L erythrocytes, 37 C, pH 7.6. (2 ADP --> AMP + ATP).
Stated in pubmed:10477269, citing (IBSN:9780808916727)"	"85100 units / L cells
* (1 umol / 1 min / 1 unit)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
ADA	Adenosine deaminase	adn_c + h2o_c + h_c --> ins_c + nh4_c	Purine metabolism	intracellular	0	35.7894	mmol / (hr * L cells)	pubmed:9022297	Adenine nucleotide metabolism enzymes assayed at 37 C. Kinetics calculated using 337 mg protein / ml erythrocytes.Mean (SD) Vmax = 1.77 (0.08) pmol / (min * ug protein)	"1.77 pmol / (min * ug protein)
* (1 mmol / 1e9 pmol)
* (1e3 ug protein/ 1 mg protein)
* (337 mg protein / mL cells)
* (1e3 mL cells / 1 L cells)
* (60 min / 1 hr)"
ADNK1	Adenosine kinase	adn_c + atp_c --> adp_c + amp_c + h_c	Purine metabolism	intracellular	0	2.4	mmol / (hr * L cells)	pubmed:2141093	"Activity at 37 C. Vmax = 2.4 mmol / (L * hr)
Stated in pubmed:2141093, citing pubmed: 6285649; pubmed: 7345824"
ADPT	Adenine phosphoribosyltransferase	ade_c + prpp_c --> amp_c + ppi_c	Purine metabolism	intracellular	0	2.46684	mmol / (hr * L cells)	pubmed:9022297	Adenine nucleotide metabolism enzymes assayed at 37 C. Kinetics calculated using 337 mg protein / ml erythrocytes.Mean (SD) Vmax = 0.122 (0.007) pmol / (min * ug protein)	"0.122 pmol / (min * ug protein)
* (1 mmol / 1e9 pmol)
* (1e3 ug protein/ 1 mg protein)
* (337 mg protein / mL cells)
* (1e3 mL cells / 1 L cells)
* (60 min / 1 hr)"
AMPDA	Adenosine monophosphate deaminase	amp_c + h2o_c + h_c --> imp_c + nh4_c	Purine metabolism	intracellular	0	5.31786	mmol / (hr * L cells)	pubmed:9022297	Adenine nucleotide metabolism enzymes assayed at 37 C. Kinetics calculated using 337 mg protein / ml erythrocytes.Mean (SD) Vmax = 0.263 (0.077) pmol / (min * ug protein)	"0.263 pmol / (min * ug protein)
* (1 mmol / 1e9 pmol)
* (1e3 ug protein/ 1 mg protein)
* (337 mg protein / mL cells)
* (1e3 mL cells / 1 L cells)
* (60 min / 1 hr)"
DADA	Deoxyadenosine deaminase	2dadn_c + h2o_c + h_c --> 2dins_c + nh4_c	Purine metabolism	intracellular	0	6.3693	mmol / (hr * L cells)	pubmed:9022297	Adenine nucleotide metabolism enzymes assayed at 37 C. Kinetics calculated using 337 mg protein / ml erythrocytes.Mean (SD) Vmax = 0.315 (0.013) pmol / (min * ug protein)	"0.315 pmol / (min * ug protein)
* (1 mmol / 1e9 pmol)
* (1e3 ug protein/ 1 mg protein)
* (337 mg protein / mL cells)
* (1e3 mL cells / 1 L cells)
* (60 min / 1 hr)"
DADNK1	Deoxyadenosine kinase	2dadn_c + atp_c --> adp_c + damp_c + h_c	Purine metabolism	intracellular	0	0.1362828	mmol / (hr * L cells)	pubmed:9022297	Adenine nucleotide metabolism enzymes assayed at 37 C. Kinetics calculated using 337 mg protein / ml erythrocytes.Mean (SD) Vmax = 0.00674 (0.00039) pmol / (min * ug protein)	"0.00674 pmol / (min * ug protein)
* (1 mmol / 1e9 pmol)
* (1e3 ug protein/ 1 mg protein)
* (337 mg protein / mL cells)
* (1e3 mL cells / 1 L cells)
* (60 min / 1 hr)"
GK1	Guanylate kinase (ATP:GMP)	atp_c + gmp_c <=> adp_c + gdp_c	Purine metabolism	intracellular	0	0.21	mmol / (hr * L cells)	pubmed:4072092	Human erythrocytes incubated at 37C and pH 7.4. Higher guanosine affluent (~ 60 umol/L extracellular guanosine). Value determined to be 0.21 mmol / (L cells * hr)
HXPRT	Hypoxanthine phosphoribosyltransferase (Hypoxanthine)	hxan_c + prpp_c --> imp_c + ppi_c	Purine metabolism	intracellular	0	54.9984	mmol / (hr * L cells)	pubmed:9022297	Adenine nucleotide metabolism enzymes assayed at 37 C. Kinetics calculated using 337 mg protein / ml erythrocytes.Mean (SD) Vmax = 2.72 (0.07) pmol / (min * ug protein)	"2.72 pmol / (min * ug protein)
* (1 mmol / 1e9 pmol)
* (1e3 ug protein/ 1 mg protein)
* (337 mg protein / mL cells)
* (1e3 mL cells / 1 L cells)
* (60 min / 1 hr)"
NTDDAMP	5'-nucleotidase (dAMP)	damp_c + h2o_c --> 2dadn_c + pi_c	Purine metabolism	intracellular	0	3.09366	mmol / (hr * L cells)	pubmed:9022297	Adenine nucleotide metabolism enzymes assayed at 37 C. Kinetics calculated using 337 mg protein / ml erythrocytes.Mean (SD) Vmax = 0.153 (0.015) pmol / (min * ug protein)	"0.153 pmol / (min * ug protein)
* (1 mmol / 1e9 pmol)
* (1e3 ug protein/ 1 mg protein)
* (337 mg protein / mL cells)
* (1e3 mL cells / 1 L cells)
* (60 min / 1 hr)"
PUNP5	Purine-nucleoside phosphorylase (inosine)	ins_c + pi_c --> hxan_c + r1p_c	Purine metabolism	intracellular	0	24.264	mmol / (hr * L cells)	pubmed:9022297	Adenine nucleotide metabolism enzymes assayed at 37 C. Kinetics calculated using 337 mg protein / ml erythrocytes.Mean (SD) Vmax = 1.2 (0.06) pmol / (min * ug protein)	"1.2 pmol / (min * ug protein)
* (1 mmol / 1e9 pmol)
* (1e3 ug protein/ 1 mg protein)
* (337 mg protein / mL cells)
* (1e3 mL cells / 1 L cells)
* (60 min / 1 hr)"
PUNP6	Purine-nucleoside phosphorylase (deoxyinosine)	2dins_c + pi_c <=> 2dr1p_c + hxan_c	Purine metabolism	intracellular	0	53.1786	mmol / (hr * L cells)	pubmed:9022297	Adenine nucleotide metabolism enzymes assayed at 37 C. Kinetics calculated using 337 mg protein / ml erythrocytes.Mean (SD) Vmax = 2.63 (0.15) pmol / (min * ug protein)	"2.63 pmol / (min * ug protein)
* (1 mmol / 1e9 pmol)
* (1e3 ug protein/ 1 mg protein)
* (337 mg protein / mL cells)
* (1e3 mL cells / 1 L cells)
* (60 min / 1 hr)"
NTDCMP	5'-nucleotidase (CMP)	cmp_c + h2o_c --> cytd_c + pi_c	Pyrimidine metabolism	intracellular	0	1.92	mmol / (hr * L cells)	pubmed:3019755	"The P5N activities (umol/L of packed cells/min) obtained for red cells of multiple sclerosis patients and normal controls were 36 (2.9) and 32 (2.7), respectively"	"32 (2.9) umol / (L cells * min)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
LGTHL	Lactoylglutathione lyase	gthrd_c + mthgxl_c --> slgth__R_c	Pyruvate metabolism	intracellular	0	4224	mmol / (hr * L cells)	pubmed:2226450	"Human erythrocyte hemolysates at 37 C, 0.85 hematocrit. The maximal velocity of glyoxalase 1 is threefold greater (Vmax= 70.4 (4.7) mmol / min * L cells) than glyoxalase 2 (Vmax= 24 (5) mmol / min * L cells) "	"70.4 mmol / (min * L cells)
* (60 min / 1 hr)"
GLYOX	Hydroxyacylglutathione hydrolase	h2o_c + slgth__R_c --> gthrd_c + h_c + lac__D_c	Pyruvate metabolism	intracellular	0	1440	mmol / (hr * L cells)	pubmed:2226450	"Human erythrocyte hemolysates at 37 C, 0.85 hematocrit. The maximal velocity of glyoxalase 1 is threefold greater (Vmax= 70.4 (4.7) mmol / min * L packed cells) than glyoxalase 2 (Vmax= 24 (5) mmol / min * L packed cells) "	"24 mmol / (min * L cells)
* (60 min / 1 hr)"
