reactions	name	reaction	subsystem	type	lower_bound	upper_bound	unit	references	notes	conversions
SPHGNSK	Sphingosine kinase	atp_c + sphings_c --> adp_c + h_c + sphs1p_c	Sphingolipid metabolism	intracellular	0	0.022248	mmol / (hr * L cells)	pubmed:17418101	"Sph kinase activity in erythrocytes, assayed at 37 C. 3 pmol/min/mg activity, Mean total protein (SE) = 1236 (60) ug protein / 1e8 cells"	"3 pmol / min / mg
* (1 mmol / 1e9 pmol)
* (1 mg / 1e3 ug)
* (1236 ug / 1e8 cells)
* (1 cell / 100e-15 L)
* (60 min / 1 hr)"
FUM	Fumarase	mal__L_c <=> fum_c + h2o_c	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	intracellular	-354	960	mmol / (hr * L cells)	pubmed:29315908	"Fumarase activity in fresh hemolysates [hematocrit (Ht) = 43.5%], recorded using 1H spin_echo nuclear magnetic resonance (NMR) spectra at 37C every 5 s over the course of ~20 min.
Fum --> Mal, Vmax =5.9 (0.3) mmol / (L cells * min)
Mal --> Fum, Vmax =16.0 (0.6) mmol / (L cells * min)"	"5.9 mmol / (L cells * min)
* (60 min / 1 hr)
16.0 mmol / (L cells * min)
* (60 min / 1 hr)"
OAADC	Oxaloacetate decarboxylase	h_c + oaa_c --> co2_c + pyr_c	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	intracellular	0	340000	mmol / (hr * L cells)	pubmed:7138916	"15 mM oxaloacetate is added to erythrocyte lysates, the oxaloacetate spectrum disappears rapidly and the pyruvate resonance grows over the same time course. The time course of pyruvate production corresponds to an initial velocity of 340 mmol / (hr * mL erythrocytes)"	"340 mmol / (hr * mL cells)
* (1e3 mL cells / 1 L cells)"
CADPRIBtec	Cyclic ADP ribose transport	cadprib_e --> cadprib_c	Nicotinate and nicotinamide metabolism	transport	0	0.0877608	mmol / (hr * L cells)	pubmed:8394137	"Vmax = 2.04 (0.1) pmol / min / uL cell water
Ecto-NADase may have a role as supplier of ADP-ribose for its uptake into the cells
and that the cleavage of NAD by NADase is necessary for the ADP-ribose uptake by human erythrocytes. From ADP-ribose uptake studies at 37 ."	"2.04 pmol / min / uL cell water
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (0.717 L cell water / L cells)
* (1e6 uL / 1 L)"
GAL_Dt	Transport of alpha-D-galactose	gal_c <=> gal_e	"Transport, extracellular"	transport	-3606	3606	mmol / (hr * L cells)	pubmed:6389533	"Human erythrocytes at 37 C, infinite cis influx, no insulin. Control Galactose transport Vmax = 60.1 mmol / (L * min).
Assume forward and reverse are equal"
GLC_Dt	Transport of beta-D-glucose	glc__D_c <=> glc__D_e	"Transport, extracellular"	transport	-3522	11580	mmol / (hr * L cells)	pubmed:6389533	"Human erythrocytes at 37 C, infinite cis influx, no insulin. Control Glucose transport Vmax = 58.7 mmol / (L * min)
Human erythrocytes at 37 C, Zero trans efflux, no insulin. Control Glucose transport Vmax = 193 mmol / (L * min)"
CRTNt	Transport of creatinine via diffusion	crtn_c <=> crtn_e	"Transport, extracellular"	transport	-1020	1020	mmol / (hr * L cells)	pubmed:29244191	"3 time_independent experiments, observed Vmax for the uptake of creatinine after 60_min at 37_C (pubmed:29244191). Vmax = 1.7_±_0.15 umol/min/10^9_cells
Assume symmetric transport"	"1.7 umol / (min * 1e9_cells)
* (1 mmol / 1e9 umol)
* (60 min / 1 hr)
* (1 cell / 100e-15 L)"
CYTDt	Cytidine transport via facilitated diffusion	cytd_c <=> cytd_e	"Transport, extracellular"	transport	-990	990	mmol / (hr * L cells)	pubmed:5160738	"Human erythrocytes (Type A, Rh+), collected from acid-citrate-dextrose blood, were obtained from the Southwest Michigan Blood Bank and stored under sterile conditions at 4 . Cells were used within 2I days. At 37 C, there are very high transport rates for nucleosides. Efflux experiments at 37C. Vmax = 16.5 mmol / (L * min). Assume symmetric transport."	"16.5 mmol / (L cells * min)
* (60 min / 1 hr)"
ADEt	Adenine transport via facilitated diffusion	ade_c <=> ade_e	"Transport, extracellular"	transport	-824.4	824.4	mmol / (hr * L cells)	pubmed:3379069	"Adenine, permeant concentration 5 mM Nucleobase influx rate at 37 C. No corrections made for diffusion flux contribution. Assume symmetric transport. Mean (SE) initial velocity: 1145 (31) pmol / s / 5 uL packed cells"	1145 pmol/(s * 5 uL cells) * (1 mmol / 1e9 pmol) * (3600 s / 1 hr) * (1e6 uL cells / 1 L cells)
URIt	Uridine transport via facilitated diffusion	uri_c <=> uri_e	"Transport, extracellular"	transport	-600	600	mmol / (hr * L cells)	pubmed:5160738	"Human erythrocytes (Type A, Rh+), collected from acid-citrate-dextrose blood, were obtained from the Southwest Michigan Blood Bank and stored under sterile conditions at 4 . Cells were used within 2I days. At 37 C, there are very high transport rates for nucleosides. Efflux experiments at 37C. Vmax = 10 mmol / (L * min). Assume symmetric transport."	"10 mmol / (L cells * min)
* (60 min / 1 hr)"
THYMDt	Thymidine transport via facilitated diffusion	thymd_c <=> thymd_e	"Transport, extracellular"	transport	-550.8	550.8	mmol / (hr * L cells)	pubmed:3471758	"Initial velocity of influx determined for thymidine at 37 C for human erythrocytes, hematocrit of 10%. Mean (SE) influx rate for 2 mM thymidine: 1530 (111) pmol / s / 10 uL packed cells"	"1530 pmol / s / 10 uL cells
* (1 mmol / 1e9 pmol)
* (3600 s / 1 hr)
* (1e6 uL / 1 L)"
5FLURAt	Transport of 5-fluorouracil	5flura_c <=> 5flura_e	"Transport, extracellular"	transport	-381.6	381.6	mmol / (hr * L cells)	pubmed:8347174	"5-fluorouracil permeant, saturatable nucleoside transport influx at 37 C. Mean (SE) Vmax: ~ 530 (80) pmol / s / 5 uL packed cells"	530 pmol/(s * 5 uL cells) * (1 mmol / 1e9 pmol) * (3600 s / 1 hr) * (1e6 uL cells / 1 L cells)
HYXNt	Hypoxanthine transport via facilitated diffusion	hxan_c <=> hxan_e	"Transport, extracellular"	transport	-376.56	376.56	mmol / (hr * L cells)	pubmed:3379069	"Hypoxanthine, permeant concentration 4.5 mM Nucleobase influx rate at 37 C. No corrections made for diffusion flux contribution. Assume symmetric transport. Mean (SE) initial velocity: 523 (13) pmol / s / 5 uL packed cells"	523 pmol/(s * 5 uL cells) * (1 mmol / 1e9 pmol) * (3600 s / 1 hr) * (1e6 uL cells / 1 L cells)
5MTAtec	Transport of 5-S-methyl-5-thioadenosine via facilitated diffusion (extracellular/cytosol)	5mta_c <=> 5mta_e	"Transport, extracellular"	transport	-362.4	362.4	mmol / (hr * L cells)	pubmed:6838867	"Zero-trans influx of methylthioadenosine in phosphate-depleted human erythrocytes through a saturatable system: Vmax = 604 (51) pmol/(min * 1e6 cells)
Assume symmetric Vmax for 5-methylthioadenosine transport:
Assays at 37 C calculated assuming 12.91 uL water for 20 uL packed RBCs which also corresponds to 2e8 cells, equivalenty 100 uL of suspension.
After 5 min, a significant increase in the cellular concentration of 5-methylthioribose l-phosphate was observable, while 5-methylthioribose did not accumulate in the red cells.
5MTA is, on the contrary, present in large amount in the medium and probably represents the metabolite
escaping from the cells."	"604 pmol / (min * 1e6 cells)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1 cell / 100e-15 L cell)"
URAt	Transport of uracil	ura_c <=> ura_e	"Transport, extracellular"	transport	-360	360	mmol / (hr * L cells)	pubmed:8347174	"Uracil permeant, saturatable nucleoside transport influx at 37 C. Mean (SE) Vmax: ~500 (40) pmol / s / 5 uL packed cells"	500 pmol/(s * 5 uL cells) * (1 mmol / 1e9 pmol) * (3600 s / 1 hr) * (1e6 uL cells / 1 L cells)
ADNt	Adenosine transport via facilitated diffusion	adn_c <=> adn_e	"Transport, extracellular"	transport	-206.496	206.496	mmol / (hr * L cells)	pubmed:6525168	Human erythrocyte adenosine uptake at 37C. Mean (SEM) Vmax = 80 (9) pmol/s/uL of cell water. Assume symmetrical transport	"80 pmol/(s * uL cell water)
* (1 mmol / 1e9 pmol)
* (3600 s / 1 hr)
* (1e6 uL / 1 L)
* (0.717 L water / 1 L cells)"
PYR_LLACtex	Pyruvate/L-lactate exchange	lac__L_e + pyr_c <=> lac__L_c + pyr_e	"Transport, extracellular"	transport	-120.6	120.6	mmol / (hr * L cells)	pubmed:2141093	Lactate inhibits pyruvate transport and vice versa. Assume Vmax of exchange is between lactate and pyruvate	(120.6 + 117)/2 mmol / (L * hr)
PYRt2	Pyruvate transport in via proton symport	h_c + pyr_c <=> h_e + pyr_e	"Transport, extracellular"	transport	-120.6	120.6	mmol / (hr * L cells)	pubmed:2141093	Lactate inhibits pyruvate transport and vice versa. Assume Vmax of exchange is between lactate and pyruvate	(120.6 + 117)/2 mmol / (L * hr)
L_LACt2	L-lactate transport via proton symport	h_c + lac__L_c <=> h_e + lac__L_e	"Transport, extracellular"	transport	-117	117	mmol / (hr * L cells)	pubmed:2141093	Vmax = 117 mmol / (L * hr)	117 mmol / (L * hr)
INSt	Inosine transport via facilitated diffusion	ins_c <=> ins_e	"Transport, extracellular"	transport	-61.2	61.2	mmol / (hr * L cells)	pubmed:2141093	Vmax = 61.2 mmol / (L * hr)	61.2 mmol / (L * hr)
GUAt	Guanine transport via facilitated diffusion	gua_c <=> gua_e	"Transport, extracellular"	transport	-22.968	22.968	mmol / (hr * L cells)	pubmed:3379069	"Guanine, permeant concentration 115 uM Nucleobase influx rate at 37 C. No corrections made for diffusion flux contribution. Assume symmetric transport. Mean (SE) initial velocity: 31.9 (1.2) pmol / s / 5 uL packed cells"	31.9 pmol/(s * 5 uL cells) * (1 mmol / 1e9 pmol) * (3600 s / 1 hr) * (1e6 uL cells / 1 L cells)
LEUMETex	L-leucine/L-methionine exchange	leu__L_c + met__L_e <=> leu__L_e + met__L_c	"Transport, extracellular"	transport	-21.98322	21.98322	mmol / (hr * L cells)	pubmed:14154468	"Efflux of L-leucine affected by presence of amino acids, initial leucine concentration 0.83 mM: Efflux, L-methionine added at 20mM: 0.284 mmol / (L cell water * min)
Assume symmetric transport"	"0.511 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
LEUVALex	L-leucine/L-valine exchange	leu__L_c + val__L_e <=> leu__L_e + val__L_c	"Transport, extracellular"	transport	-18.11142	18.11142	mmol / (hr * L cells)	pubmed:14154468	"Efflux of L-leucine affected by presence of amino acids, initial leucine concentration 0.83 mM: Efflux, L-valine added at 20mM: 0.284 mmol / (L cell water * min)
Assume symmetric transport"	"0.421 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
LEUPHEex	L-leucine/L-phenylalanine exchange	leu__L_c + phe__L_e <=> leu__L_e + phe__L_c	"Transport, extracellular"	transport	-17.8533	17.8533	mmol / (hr * L cells)	pubmed:14154468	"Efflux of L-leucine affected by presence of amino acids, initial leucine concentration 0.83 mM: Efflux, L-phenylalanine added at 20mM: 0.284 mmol / (L cell water * min)
Assume symmetric transport"	"0.415 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
LEUtec	L-leucine transport via facilitated diffusion (extracellular/cytosol)	leu__L_c <=> leu__L_e	"Transport, extracellular"	transport	-17.50914	17.50914	mmol / (hr * L cells)	pubmed:14154468	"Efflux of L-leucine affected by presence of amino acids in volume 15mL, initial leucine concentration 0.81 mM: Efflux, L-leucine added at 20mM: 0.407 mmol / (L cell water * min)
Assume symmetric transport"	"0.407 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
LEUTHRex	L-leucine/L-threonine exchange	leu__L_c + thr__L_e <=> leu__L_e + thr__L_c	"Transport, extracellular"	transport	-12.86298	12.86298	mmol / (hr * L cells)	pubmed:14154468	"Efflux of L-leucine affected by presence of amino acids, initial leucine concentration 0.83 mM: Efflux, L-threonine added at 20mM: 0.284 mmol / (L cell water * min)
Assume symmetric transport"	"0.299 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
GLYLEUex	Glycine/L-leucine exchange	gly_c + leu__L_e <=> gly_e + leu__L_c	"Transport, extracellular"	transport	-12.0456	12.0456	mmol / (hr * L cells)	pubmed:14154468	"Efflux of L-leucine affected by presence of amino acids, initial leucine concentration 0.83 mM: Efflux, glycine added at 20mM: 0.284 mmol / (L cell water * min)
Assume symmetric transport"	"0.28 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
LEUTRPex	L-leucine/L-tyrptophan exchange	leu__L_c + trp__L_e <=> leu__L_e + trp__L_c	"Transport, extracellular"	transport	-10.28178	10.28178	mmol / (hr * L cells)	pubmed:14154468	"Efflux of L-leucine affected by presence of amino acids, initial leucine concentration 0.83 mM: Efflux, L-tryptophan added at 20mM: 0.284 mmol / (L cell water * min)
Assume symmetric transport"	"0.239 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
ALALEUex	L-alanine/L-leucine exchange	ala__L_c + leu__L_e <=> ala__L_e + leu__L_c	"Transport, extracellular"	transport	-10.06668	10.06668	mmol / (hr * L cells)	pubmed:14154468	"Efflux of L-leucine affected by presence of amino acids, initial leucine concentration 0.83 mM: Efflux, L-alanine added at 20mM: 0.284 mmol / (L cell water * min).
Assume symmetric transport"	"0.234 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
KCCt	K+-Cl- cotransport	cl_c + k_c <-- cl_e + k_e	"Transport, extracellular"	transport	-1.14	0	mmol / (hr * L cells)	pubmed:6929518	"The cells were first washed in a medium with the same composition as the isotonic saline (except for the substituted anion) and incubated at 37C for 30 min. They were then washed again, incubated another 30 min, and finally washed three more times.
Vmax for Cl dependent K+ influx was 1.14 mmol / (L * hr)"	1.14 mmol / (L cells * hr)
CA2t	Calcium (II) import	ca2_e --> ca2_c	"Transport, extracellular"	transport	-0.2	0	mmol / (hr * L cells)	pubmed:6458770	maximal rates of_~_200 µmol (L RBC)_1 h_1 at 37 C. 	"200 umol / (hr * L cells)
* (1 mmol / 1e3 umol)"
CHOLtec	Transport of choline via facilitated diffusion	chol_c <=> chol_e	"Transport, extracellular"	transport	-0.0888	0.1398	mmol / (hr * L cells)	pubmed:5039981	"Choline influx into nominally choline free cells, medium 75 mM CaCl2. Calculated using 10 min values, mean (SEM): Vmax = 1.48 (0.036) umol per min per liter of cells.
Choline efflux experiments from cells containing 86 and 95 umol choline / cell, medium with 1mM external choline. Cs = 2.05 and 2.61 umol / (min * L cells). "	"1.48 umol / (min * L cells)
* (1 mmol / 1000 umol)
* (60 min / 1 hr)
(2.05 + 2.61) / 2 umol / (min * L cells)
* (1 mmol / 1000 umol)
* (60 min / 1 hr) "
GLY_Cl_2Nat	Glycine transport via Na:Cl cotransport(2:1:1)	cl_e + gly_e + 2.0 na1_e <=> cl_c + gly_c + 2.0 na1_c	"Transport, extracellular"	transport	-0.0287	0.047	mmol / (hr * L cells)	pubmed:20498365;pubmed:11920197	"Human erythrocytes at 37 C, Carrier Gly. Reported Vmax = 47 (12) mmol / (L cells * hr).
Stated in pubmed:20498365, citing pubmed:11920197
Initial rates of amino acid uptake at 37 C were measured. Na+-dependent components of efflux, Cl sensitive: Vmax = 28.7 umol / (hr * L cells)"	"47 umol / (L cells * hr)
* (1 mmol / 1e3 umol)
28.7 umol / (hr * L cells)
* (1 mmol / 1e3 umol)"
CGMPtec	"Transport of 3',5'-cyclic AMP"	35cgmp_e --> 35cgmp_c	"Transport, extracellular"	transport	0	0.00264	mmol / (hr * L cells)	pubmed:29244191	"4 time_independent experiments, mean value_±_SD, observed Vmax for the uptake of cGMP after 60_min at 37_C (pubmed:29244191). Vmax = 4.4_±_0.5 pmol/min/10^9_cells"
CAMPtec	"Transport of 3',5'-cyclicAMP"	35camp_e --> 35camp_c	"Transport, extracellular"	transport	0	0.00222	mmol / (hr * L cells)	pubmed:29244191	"5 time_independent experiments, mean value_±_SD, observed Vmax for the uptake of cAMP after 60_min at 37_C (pubmed:29244191). Vmax = 3.7_±_0.8 pmol/min/10^9_cells"
ACNAMt2	N-acetylneuraminate proton symport	acnam_e + h_e --> acnam_c + h_c	"Transport, extracellular"	transport	0	0.0000748	mmol / (hr * L cells)	pubmed:12765793	"Washed human erythrocyte at 37C. Saturation curve was obtained when RBCs were incubated for 30 min in the presence of various concentrations of free Neu5Ac, from 10 to 500 _g/ml. Vmax = 18.7 fmol per 5 _ 10^6 cells within 30 min of incubation"	"18.7 fmol /(5 _ 10^6 cells * 30 min)
* (1 mmol / 1e12 fmol)
* (60 min / 1 hr)
* (1 cell / 100e-15 L cell)"
CAATPS1	P-type Ca(2+) transporter (1:1 stoichiometry)	atp_c + ca2_c + h2o_c --> adp_c + ca2_e + h_c + pi_c	"Transport, extracellular"	transport	0	10	mmol / (hr * L cells)	pubmed:6252968	"Maximal rate of active calcium transport is between 2 and 10 mmol / (hr * L cells) as measured in ghosts, intact red cells, or inside.out membrane vesicles. Pump is primarily responsible for calcium export"	10 mmol / (hr * L cell)
CAMPABCte	"ATP-binding Cassette (ABC) export of 3',5'-cyclic AMP"	35camp_c + atp_c + h2o_c --> 35camp_e + adp_c + h_c + pi_c	"Transport, extracellular"	transport	0	0.0005682	mmol / (hr * L cells)	pubmed:29244191	"5 time_independent experiments, mean value_±_SD, observed Vmax for the low-affinity export of cAMP after 60_min at 37_C (pubmed:29244191). Vmax = 0.947_±_0.364 pmol/min/10^9_cells"
CGMPABCte	"ATP-binding Cassette (ABC) export of 3',5'-cyclic GMP"	35cgmp_c + atp_c + h2o_c --> 35cgmp_e + adp_c + h_c + pi_c	"Transport, extracellular"	transport	0	8.76E-05	mmol / (hr * L cells)	pubmed:29244191	"4 time_independent experiments, mean value_±_SD, observed Vmax for the high-affinity export of cGMP after 60_min at 37_C (pubmed:29244191). Vmax = 0.146_±_0.044 pmol/min/10^9_cells"
CREAT2NaClt	Creatine transport via sodium and chloride symport	cl_e + creat_e + 2.0 na1_e --> cl_c + creat_c + 2.0 na1_c	"Transport, extracellular"	transport	0	0.0045	mmol / (hr * L cells)	pubmed:7397170	"Creatine transport studied in RBCs at 37 C has saturatable & non-saturatable components. The non-saturable component is little, if at all, dependent on cell age while the saturable component is higher in young cells than old. Vmax = 4.5 nmol / ml cells / hour. "	"4.5 nmol / (mL cells * hr)
* (1 mmol / 1e6 nmol)
* (1e3 mL cells / 1 L cells)"
ERGOTHtuNa	Transport of Ergothioneine	ergoth_e + na1_e --> ergoth_c + na1_c	"Transport, extracellular"	transport	0	3	mmol / (hr * L cells)	pubmed:10491340	"Cells were incubated at a 20% (w/v) haematocrit at 37 C in PBS containing 5 mM
D-glucose and 1 mM ERT. After 2 hours in 5 mM extracellular ERT, 1200 uM uptake. Uptake varies considerably with donor, maximum value used. "	"1200 umol / (0.2 L cells * 2 hr)
* (1 mmol / 1e3 umol)"
GLYALANaEx	Glycine/L-alanine Na-dependent exchange (Gly in)	na1_e + ala__L_c + gly_e + --> + na1_c + ala__L_e + gly_c	"Transport, extracellular"	transport	0	0.30114	mmol / (hr * L cells)	pubmed:7055559	"Washed erythrocytes, Na+-dependent components of efflux measured at 37 C, extracellular glycine, inital intracellular alanine 0.95 mM. Vmax = 7.0 nmol / (mL water * min)."
LEUALANaEx	L-leucine/L-alanine Na-dependent exchange (Leu-L in)	na1_e + ala__L_c + leu__L_e + --> + na1_c + ala__L_e + leu__L_c	"Transport, extracellular"	transport	0	0.2151	mmol / (hr * L cells)	pubmed:7055559	"Washed erythrocytes, Na+-dependent components of efflux measured at 37 C, extracellular leucine, inital intracellular alanine 0.95 mM. Vmax = 5.0 nmol / (mL water * min)."
MG2NAtex2	Na+/Mg2+ exchange	mg2_c + 2.0 na1_e --> mg2_e + 2.0 na1_c	"Transport, extracellular"	transport	0	1.221374046	mmol / (hr * L cells)	pubmed:35445032	"Mean (SEM) for Mg2 Na-dependent efflux, healthy RBCs at 37C, activated by Mg2. We characterized the regulation of Mg2+ efflux by glucose in ex vivo human RBC. Treatment of cells with 50 mM D-glucose. Adjusted using MCV =
Increased activity from 0.60 (0.09) to 1.12 (0.09) mmol/(1e13 cell * hr)
Vmax = 1.12 (0.02) mmol/(1e13 cell * hr)"	"1.12 mmol / (1e13 cell * hr)
* (1 cell / 91.7e-15 L cell)"
NaHtex	Transport of Na+ via H+ exchange	h_c + na1_e --> h_e + na1_c	"Transport, extracellular"	transport	0	43	mmol / (hr * L cells)	pubmed:2558690	"Human erythrocytes 12 male and 9 female normotensive individuals, hydrogen efflux mean (Std) Vmax: = 43 (27) mmol / (hr * L cell)"	43 mmol / (hr * L cell)
NaLitex	Transport of Na+ via Li+ exchange	li1_c + na1_e --> li1_e + na1_c	"Transport, extracellular"	transport	0	0.26	mmol / (hr * L cells)	pubmed:2558690	"Human erythrocytes 12 male and 9 female normotensive individuals, lithium efflux mean (Std) Vmax: = 0.26 (0.1) mmol / (hr * L cell)"	0.26 mmol / (hr * L cell)
NKCCt	Na+-K+-Cl- cotransport	2.0 cl_e + k_e + na1_e --> 2.0 cl_c + k_c + na1_c	"Transport, extracellular"	transport	0	0.23	mmol / (hr * L cells)	pubmed:6929518	"The cells were first washed in a medium with the same composition as the isotonic saline (except for the substituted anion) and incubated at 37C for 30 min. They were then washed again, incubated another 30 min, and finally washed three more times.
Vmax for Cl dependent K+ influx was 0.23 mmol / (L * hr)"	0.23 mmol / (L cells * hr)
PHEALANaEx	L-phenylalanine/L-alanine Na-dependent exchange (Phe-L in)	na1_e + ala__L_c + phe__L_e + --> + na1_c + ala__L_e + phe__L_c	"Transport, extracellular"	transport	0	0.116154	mmol / (hr * L cells)	pubmed:7055559	"Washed erythrocytes, Na+-dependent components of efflux measured at 37 C, extracellular phenylalanine, inital intracellular alanine 0.95 mM. Vmax = 2.7 nmol / (mL water * min)."
SBT_Dt	Transport of sorbitol	sbt__D_e --> sbt__D_c	"Transport, extracellular"	transport	0	0.155	mmol / (hr * L cells)	pubmed:8141248	"Sorbitol influx at 37 C in human erythrocytes, linearly dependent on concentration in range tested (100 uM to 100 mM). Human plasma concentration of sorbitol is ~ 5 uM. Low osmolarity conditions with 5 mM glucose, 5 mM sorbitol, 5 mM sucrose in media: 155 umol/(hr * L cells)"	"155 umol/(hr * L cells)
* (1 mmol / 1e3 umol)"
SELNI_Cltex	Transport of selenite via chloride antiport	cl_c + h_e + selni_e --> cl_e + h_c + selni_c	"Transport, extracellular"	transport	0	18.711	mmol / (hr * L cells)	pubmed:32652143	"Selenite influx through SLC4A1:
Vmax = 6237 pmol / min @ 37 C. Human RBCs at a 10% hematocrit in 200 µl "	"6237 pmol / (min * (200 * 0.1) uL cells)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1e6 uL cells / 1 L cells)"
SERALANaEx	L-serine/L-alanine Na-dependent exchange (Ser-L in)	ala__L_c + na1_e + ser__L_e --> ala__L_e + na1_c + ser__L_c	"Transport, extracellular"	transport	0	0.4302	mmol / (hr * L cells)	pubmed:7055559	"Washed erythrocytes, Na+-dependent components of efflux measured at 37 C, extracellular serine, inital intracellular alanine 0.95 mM. Vmax = 10.0 nmol / (mL water * min)."
SPHS1PABCte	ATP-binding Cassette (ABC) export of sphingosine 1-phosphate	atp_c + h2o_c + sphs1p_c --> adp_c + h_c + pi_c + sphs1p_e	"Transport, extracellular"	transport	0	0.02568	mmol / (hr * L cells)	pubmed:17418101;pubmed:19531471	"The rate of the S1P release from the erythrocytes was calculated from values in human erythrocytes reported by Ito et al. (pubmed:17418101). When the amount of S1P inside the erythrocytes (108 cells) was about 38 pmol, the rate of S1P release was about 1.6 pmol/min. The erythrocyte volume and the mass of IOVs prepared from one erythrocyte cell were assumed to be 90 fl and 8.56 _ 10_11 mg, respectively. Thus, the S1P concentration inside the erythrocyte (108 cells) was 4.2 _m, and the rate of S1P release was calculated to be 0.19 nmol/mg/min. Because the rate of S1P uptake is linear up to 10 _m S1P (Fig. 3), the rate of the S1P release from intact erythrocytes at 10 _m S1P was expected to be 0.45 nmol/mg/min
Stated in pubmed:19531471, citing pubmed:17418101."	"0.45 nmol/mg/min
* (1 mmol / 1e6 nmol)
* (8.56 * 1e-11 mg / cell)
* (1 cell / 90e-15 L cell)
* (60 min / 1 hr)"
URATEt	Transport of urate	urate_e --> urate_c	"Transport, extracellular"	transport	0	0.009486	mmol / (hr * L cells)	pubmed:36146	"Urate infux for erythrocytes determined to be at 17e-11 mmol / s / cm^2, using r = 15500 cm^2 / mL cells"	"17e-11 mmol / s / cm^2
* (15500 cm^2 / mL cells)
* (3600 s / 1 hr)"
VALALANaEx	L-valine/L-alanine Na-dependent exchange (Val-L in)	na1_e + ala__L_c + val__L_e + --> + na1_c + ala__L_e + val__L_c	"Transport, extracellular"	transport	0	0.25812	mmol / (hr * L cells)	pubmed:7055559	"Washed erythrocytes, Na+-dependent components of efflux measured at 37 C, extracellular valine, inital intracellular alanine 0.95 mM. Vmax = 6.0 nmol / (mL water * min)."
ATPte	ATP export	atp_c --> atp_e	"Transport, extracellular"	transport	0	1.56	mmol / (hr * L cells)	pubmed:21921036	"When cell-attached luciferase was used as the ATP sensor, the initial ATP release rate amounted to 2.6 (1.4) pmol * (1e-6 cells min)_1."	"2.6 pmol / (min * 1e6 cells)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1 cell / 100e-15 L cell)"
EX_lac__D_e	D-lactate exchange	lac__D_e <=> 	Pseudoreactions	exchange	0	0.0168	mmol / (hr * L cells)	pubmed:3196289	D-Lactic acid was assayed in 50% (v/v) red blood cell suspensions before and after incubation in Krebs-Ringer phosphate buffer at 37 C for 2 h. The effect of glucose concentration was investigated by incubating red blood cells with 5 glucose (nmol/hr/ml of packed red blood cells)	16.8 nmol / hr / mL cells* (1 mmol /1000000 nmol) * (1000 mL cells/1 L cells)