	genes	tcdb	uniprot	subfamily	family	subclass	class	fam_abbreviation	superfamily	name	pfam	refseq	pdb	go	chebi	substrate
0	ABCA1	3.A.1.211.14	O95477	3.A.1.211	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily			5XJY		CHEBI:22563;CHEBI:53002;CHEBI:16247;CHEBI:3659	anion;amyloid-beta;phospholipid;cholesterol
1	ABCA7	3.A.1.211.10	Q8IZY2	3.A.1.211	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00005			GO:0016324;GO:0043190;GO:0010008;GO:0000139;GO:0016021;GO:0005886;GO:0005524;GO:0016887;GO:0005548;GO:0005215;GO:0006200;GO:0006909;GO:0033700;GO:0055085	CHEBI:8150;CHEBI:7242	phospholipid;ceramide
2	ABCB1	3.A.1.201.1	P08183	3.A.1.201	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00664;PF00005	NP_000918.2	6C0V;6FN1;6FN4;6QEX	GO:0009986;GO:0016021;GO:0005624;GO:0005524;GO:0005515;GO:0008559;GO:0042493;GO:0055085	CHEBI:23888	drug
3	ABCB4	3.A.1.201.3	P21439	3.A.1.201	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00664;PF00005	NP_000434.1;NP_061337.1	6S7P	GO:0005887;GO:0005624;GO:0005524;GO:0008559;GO:0006629;GO:0042493;GO:0055085	CHEBI:22868;CHEBI:8128;CHEBI:27375;CHEBI:7887;CHEBI:26666;CHEBI:4551	bile salt;1,2-diacyl-sn-glycero-3-phosphocholine(1+);vincaleukoblastine;paclitaxel;short-chain fatty acid;digoxin
4	ABCB6	3.A.1.210.6	Q9NP58	3.A.1.210	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00664;PF00005	NP_005680.1	3NH6;3NH9;3NHA;3NHB	GO:0043190;GO:0016021;GO:0005741;GO:0005524;GO:0042626;GO:0006879;GO:0055085	CHEBI:8337	porphyrin
5	ABCC1	3.A.1.208.8	P33527	3.A.1.208	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00664;PF00005	NP_004987.2	2CBZ;4C3Z	GO:0005887;GO:0005624;GO:0005524;GO:0042626;GO:0042493;GO:0055085	CHEBI:25199;CHEBI:2844;CHEBI:2846;CHEBI:5437;CHEBI:24335;CHEBI:5140;CHEBI:6837;CHEBI:17474;CHEBI:6422;CHEBI:30411;CHEBI:28925;CHEBI:25434;CHEBI:30304	mercury(2+);arsenate(3-);arsenite(3-);glutathione;glutathione conjugate;folic acid;methotrexate;estrone 3-sulfate;leukotriene C4;cobalamin;mechlorethamine;bis(2-chloroethyl) sulfide;antimony(0)
6	ABCC10	3.A.1.208.31	Q5T3U5	3.A.1.208	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily					CHEBI:76612;CHEBI:7887;CHEBI:23888	ibrutinib;paclitaxel;drug
7	ABCC4	3.A.1.208.7	O15439	3.A.1.208	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00664;PF00005	NP_001098985.1;NP_005836.2		GO:0016021;GO:0005624;GO:0005886;GO:0031088;GO:0016404;GO:0005524;GO:0042626;GO:0005254;GO:0006811;GO:0055085	CHEBI:6837;CHEBI:23447;CHEBI:48103;CHEBI:8512;CHEBI:142;CHEBI:25029;CHEBI:3098	methotrexate;cyclic nucleotide;dinucleotide analogue;prostaglandin E2;prostaglandin E1;leukotriene;bile acid
8	ABCC5	3.A.1.208.15	O15440	3.A.1.208	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00664;PF00005	NP_005679.2		GO:0005887;GO:0005624;GO:0005524;GO:0042626;GO:0008514;GO:0055085	CHEBI:24335;CHEBI:5140;CHEBI:6837;CHEBI:1327;CHEBI:1325;CHEBI:48103;CHEBI:40188;CHEBI:5273;CHEBI:50667;CHEBI:60783	glutathione conjugate;folic acid;methotrexate;3',5'-cyclic GMP;3',5'-cyclic AMP;dinucleotide analogue;adefovir;ganciclovir;mercaptopurine;nucleoside analogue
9	ABCE1	3.A.1.31.4	P61221	3.A.1.31	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily			6ZME
10	ABCG2	3.A.1.204.2	Q9UNQ0	3.A.1.204	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF01061;PF00005	NP_004818.2	5NJ3;5NJG;6ETI;6FEQ;6FFC;6HBU;6HCO;6HIJ;6HZM;6VXF;6VXH;6VXI;6VXJ	GO:0016021;GO:0005886;GO:0005524;GO:0042803;GO:0008559;GO:0042493;GO:0006810	CHEBI:8828;CHEBI:5437;CHEBI:53002;CHEBI:5140;CHEBI:6837;CHEBI:9396;CHEBI:5742;CHEBI:47344;CHEBI:2496;CHEBI:3659;CHEBI:1366;CHEBI:6955;CHEBI:4864;CHEBI:9461;CHEBI:4330;CHEBI:8453;CHEBI:9885;CHEBI:5651;CHEBI:38257	rhodamine 123;glutathione;amyloid-beta;folic acid;methotrexate;tamoxifen;2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole;alvocidib;doxorubicin;cholesterol;resveratrol;mitoxantrone;17beta-estradiol;testosterone;daunorubicin;progesterone;7,9-dihydro-1H-purine-2,6,8(3H)-trione;ferroheme b;pheophorbide a
11	AGPAT3	9.B.447.1.1	Q9NRZ7	9.B.447.1	9.B.447	9.B	9								CHEBI:6494	lipopolysaccharide
12	ANKH	2.A.66.9.1	Q9HCJ1	2.A.66.9	2.A.66	2.A	2	MOP	Multidrug/Oligosaccharidyl-lipid/Polysaccharide Flippase (MOP) Superfamily	The Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily	PF07260	NP_473368.1		GO:0019867;GO:0030504;GO:0005315;GO:0007626;GO:0006817;GO:0030500;GO:0001501	CHEBI:18361;CHEBI:2359	diphosphate(4-);ATP
13	ANO6	1.A.17.1.4	Q4KMQ2	1.A.17.1	1.A.17	1.A	1	CaClC	Anoctamin Superfamily	The Calcium-dependent Chloride Channel (Ca-ClC) Family	PF04547			GO:0034707;GO:0005886;GO:0005254;GO:0002543;GO:0097045	CHEBI:22563;CHEBI:8150	anion;phospholipid
14	AQP1	1.A.8.8.1	P29972	1.A.8.8	1.A.8	1.A	1	MIP	Major Intrinsic Protein (MIP) Superfamily	The Major Intrinsic Protein (MIP) Family	PF00230	NP_932766.1	1FQY;1H6I;1IH5;4CSK;6POJ	GO:0016324;GO:0009925;GO:0031526;GO:0005737;GO:0005887;GO:0031965;GO:0042383;GO:0051739;GO:0035379;GO:0015168;GO:0005223;GO:0030184;GO:0005267;GO:0015079;GO:0005515;GO:0015250;GO:0015696;GO:0035378;GO:0006884;GO:0071474;GO:0071320;GO:0071280;GO:0071549;GO:0070301;GO:0071456;GO:0071260;GO:0071288;GO:0071300;GO:0071472;GO:0034644;GO:0033326;GO:0006182;GO:0030950;GO:0015793;GO:0021670;GO:0050891;GO:0043066;GO:0030185;GO:0042476;GO:0030157;GO:0045766;GO:0048146;GO:0046878;GO:0006813;GO:0003097;GO:0042493;GO:0035377	CHEBI:5586;CHEBI:7598;CHEBI:5585;CHEBI:7434;CHEBI:7860;CHEBI:3283	hydrogen peroxide;dinitrogen oxide;water;ammonia;dioxygen;carbon dioxide
15	AQP3	1.A.8.9.24	Q92482	1.A.8.9	1.A.8	1.A	1	MIP	Major Intrinsic Protein (MIP) Superfamily	The Major Intrinsic Protein (MIP) Family					CHEBI:5586;CHEBI:5585;CHEBI:9888;CHEBI:5448	hydrogen peroxide;water;urea;glycerol
16	ATP11A	3.A.3.8.17	P98196	3.A.3.8	3.A.3	3.A	3	P-ATPase	P-type ATPase (P-ATPase) Superfamily	The P-type ATPase (P-ATPase) Superfamily
17	ATP11B	3.A.3.8.12	Q9Y2G3	3.A.3.8	3.A.3	3.A	3	P-ATPase	P-type ATPase (P-ATPase) Superfamily	The P-type ATPase (P-ATPase) Superfamily	PF00122;PF00702			GO:0005769;GO:0005783;GO:0016021;GO:0005637;GO:0005886;GO:0055037;GO:0055038;GO:0005524;GO:0015662;GO:0005488;GO:0015075;GO:0000287;GO:0004012;GO:0015917;GO:0006812;GO:0045332	CHEBI:8150	phospholipid
18	ATP11C	3.A.3.8.14	Q8NB49	3.A.3.8	3.A.3	3.A	3	P-ATPase	P-type ATPase (P-ATPase) Superfamily	The P-type ATPase (P-ATPase) Superfamily			6LKN		CHEBI:60971	aminophospholipid
19	ATP1A1	3.A.3.1.1	P05023;P05026;P13637;P50993;P54709;Q58I19	3.A.3.1	3.A.3	3.A	3	P-ATPase	P-type ATPase (P-ATPase) Superfamily	The P-type ATPase (P-ATPase) Superfamily	PF00689;PF00690;PF00122;PF00702;PF00287	NP_000692.2;NP_001153705.1;NP_001153706.1;NP_689509.1;NP_001668.1;NP_000693.1;NP_001670.1	3n23;4hyt;4xe5	GO:0042470;GO:0005890;GO:0005524;GO:0046872;GO:0015077;GO:0005515;GO:0005391;GO:0006754;GO:0006813;GO:0006814;GO:0005783;GO:0005794;GO:0016020	CHEBI:9175;CHEBI:8345	sodium(1+);potassium(1+)
20	ATP1A3	3.A.3.1.1	P05023;P05026;P13637;P50993;P54709;Q58I19	3.A.3.1	3.A.3	3.A	3	P-ATPase	P-type ATPase (P-ATPase) Superfamily	The P-type ATPase (P-ATPase) Superfamily	PF00689;PF00690;PF00122;PF00702;PF00287	NP_000692.2;NP_001153705.1;NP_001153706.1;NP_689509.1;NP_001668.1;NP_000693.1;NP_001670.1	3n23;4hyt;4xe5	GO:0042470;GO:0005890;GO:0005524;GO:0046872;GO:0015077;GO:0005515;GO:0005391;GO:0006754;GO:0006813;GO:0006814;GO:0005783;GO:0005794;GO:0016020	CHEBI:9175;CHEBI:8345	sodium(1+);potassium(1+)
21	ATP1B1	3.A.3.1.1	P05023;P05026;P13637;P50993;P54709;Q58I19	3.A.3.1	3.A.3	3.A	3	P-ATPase	P-type ATPase (P-ATPase) Superfamily	The P-type ATPase (P-ATPase) Superfamily	PF00689;PF00690;PF00122;PF00702;PF00287	NP_000692.2;NP_001153705.1;NP_001153706.1;NP_689509.1;NP_001668.1;NP_000693.1;NP_001670.1	3n23;4hyt;4xe5	GO:0042470;GO:0005890;GO:0005524;GO:0046872;GO:0015077;GO:0005515;GO:0005391;GO:0006754;GO:0006813;GO:0006814;GO:0005783;GO:0005794;GO:0016020	CHEBI:9175;CHEBI:8345	sodium(1+);potassium(1+)
22	ATP1B3	3.A.3.1.1	P05023;P05026;P13637;P50993;P54709;Q58I19	3.A.3.1	3.A.3	3.A	3	P-ATPase	P-type ATPase (P-ATPase) Superfamily	The P-type ATPase (P-ATPase) Superfamily	PF00689;PF00690;PF00122;PF00702;PF00287	NP_000692.2;NP_001153705.1;NP_001153706.1;NP_689509.1;NP_001668.1;NP_000693.1;NP_001670.1	3n23;4hyt;4xe5	GO:0042470;GO:0005890;GO:0005524;GO:0046872;GO:0015077;GO:0005515;GO:0005391;GO:0006754;GO:0006813;GO:0006814;GO:0005783;GO:0005794;GO:0016020	CHEBI:9175;CHEBI:8345	sodium(1+);potassium(1+)
23	ATP2B1	3.A.3.2.25	P20020	3.A.3.2	3.A.3	3.A	3	P-ATPase	P-type ATPase (P-ATPase) Superfamily	The P-type ATPase (P-ATPase) Superfamily	PF12424;PF00689;PF00690;PF00122;PF00702	NP_001001323.1;NP_001673.2	6A69	GO:0005887;GO:0005524;GO:0005388;GO:0005516;GO:0046872;GO:0005515;GO:0006754;GO:0006816	CHEBI:3308	calcium(2+)
24	ATP2B4	3.A.3.2.1	P23634	3.A.3.2	3.A.3	3.A	3	P-ATPase	P-type ATPase (P-ATPase) Superfamily	The P-type ATPase (P-ATPase) Superfamily	PF12424;PF00689;PF00690;PF00122;PF00702	NP_001001396.1;NP_001675.3	1CFF;2KNE	GO:0005887;GO:0005524;GO:0005388;GO:0005516;GO:0046872;GO:0005515;GO:0006754;GO:0006816	CHEBI:3308	calcium(2+)
25	ATP7A	3.A.3.5.6	Q04656	3.A.3.5	3.A.3	3.A	3	P-ATPase	P-type ATPase (P-ATPase) Superfamily	The P-type ATPase (P-ATPase) Superfamily	PF00122;PF00403;PF00702	NP_000043.3	1AW0;1KVI;1KVJ;1Q8L;1S6O;1S6U;1Y3J;1Y3K;1YJR;1YJT;1YJU;1YJV;2AW0;2G9O;2GA7;2K1R;2KIJ;2KMV;2KMX;3CJK;5T7L	GO:0016323;GO:0005829;GO:0005783;GO:0016021;GO:0005770;GO:0043005;GO:0043025;GO:0048471;GO:0005802;GO:0030140;GO:0005524;GO:0032767;GO:0004008;GO:0016532;GO:0006754;GO:0001974;GO:0051216;GO:0006878;GO:0021702;GO:0030199;GO:0060003;GO:0015677;GO:0010273;GO:0042417;GO:0048251;GO:0051542;GO:0042414;GO:0031069;GO:0007626;GO:0048286;GO:0007005;GO:0048553;GO:0048812;GO:0043526;GO:0042415;GO:0018205;GO:0043473;GO:0048554;GO:0051353;GO:0021860;GO:0002082;GO:0019430;GO:0042428;GO:0043588;GO:0042093;GO:0006568	CHEBI:23380;CHEBI:49551	copper(2+);copper(1+)
26	ATP7B	3.A.3.5.3	P35670	3.A.3.5	3.A.3	3.A	3	P-ATPase	P-type ATPase (P-ATPase) Superfamily	The P-type ATPase (P-ATPase) Superfamily	PF00122;PF00403;PF00702	NP_000044.2;NP_001005918.1	2ARF;2EW9;2ROP;2KOY;2LQB;2N7Y;6A71;6A72	GO:0005887;GO:0005770;GO:0005739;GO:0005524;GO:0005507;GO:0004008;GO:0005515;GO:0006754;GO:0006878;GO:0015677;GO:0046688;GO:0051208	CHEBI:34754;CHEBI:49551;CHEBI:49468;CHEBI:3722	iron(2+);copper(1+);silver(1+);cisplatin
27	CACNA1A	1.A.1.11.27	O00555	1.A.1.11	1.A.1	1.A	1	VIC	VIC Superfamily	The Voltage-gated Ion Channel (VIC) Superfamily 			3BXK
28	CD36	9.B.39.1.4	P16671	9.B.39.1	9.B.39	9.B	9				PF01130		5LGD	GO:0005887;GO:0005624;GO:0045335;GO:0031092;GO:0008289;GO:0030169;GO:0005041;GO:0070053;GO:0050431;GO:0002479;GO:0007155;GO:0044255;GO:0019934;GO:0030301;GO:0019915;GO:0042953;GO:0034383;GO:0007263;GO:0015911;GO:0030168;GO:0002576;GO:0001954;GO:0010744;GO:0044281	CHEBI:4984	fatty acid
29	CLCN2	2.A.49.2.12	P51788	2.A.49.2	2.A.49	2.A	2								CHEBI:3731;CHEBI:3178;CHEBI:5946	chloride;bromide;iodide
30	CLIC1	1.A.12.1.2	O00299	1.A.12.1	1.A.12	1.A	1					NP_001279.2	1K0M;1K0N;1K0O;1RK4;3O3T;3P8W;3P90;3QR6;3SWL;3TGZ;3UVH;4IQA;4JZQ;4K0G;4K0N	GO:0005903;GO:0034707;GO:0005737;GO:0005624;GO:0031965;GO:0005886;GO:0005625;GO:0005515;GO:0005247;GO:0006821;GO:0007165	CHEBI:3731	chloride
31	CLIC2	1.A.12.1.5	O15247	1.A.12.1	1.A.12	1.A	1				PF00462	NP_001280.3	2PER;2R4V;2R5G	GO:0034707;GO:0005737;GO:0005634;GO:0009055;GO:0015035;GO:0005247;GO:0045454;GO:0006821;GO:0007165	CHEBI:3731	chloride
32	CLIC3	1.A.12.1.7	O95833	1.A.12.1	1.A.12	1.A	1						3FY7;3KJY	GO:0034707;GO:0005737;GO:0005634;GO:0005254;GO:0005247;GO:0007165	CHEBI:3731	chloride
33	CLIC4	1.A.12.1.6	Q9Y696	1.A.12.1	1.A.12	1.A	1					NP_039234.1	2AHE;2D2Z;3OQS	GO:0015629;GO:0034707;GO:0030659;GO:0005902;GO:0005634;GO:0005886;GO:0005625;GO:0005247;GO:0030154;GO:0006821;GO:0030336	CHEBI:3731	chloride
34	CPT1A	4.C.2.1.3	P50416	4.C.2.1	4.C.2	4.C	4						2LE3		CHEBI:6202	(R)-carnitine
35	CYBRD1	5.B.2.1.3	Q53TN4	5.B.2.1	5.B.2	5.B	5	Cytb561	Major Facilitator (MFS) Superfamily	The Eukaryotic Cytochrome b561 (Cytb561) Family		NP_001120855.1;NP_079119.3	5ZLE;5ZLG	GO:0016021;GO:0000293;GO:0046872;GO:0022900;GO:0006810	CHEBI:10545	electron
36	DNM2	1.R.1.1.1	O95140;O95292;P50570;Q5T4F4;Q5T8D3;Q7L4E1;Q8NEN9;Q96G97;Q9P0L0;Q9UBP0	1.R.1.1	1.R.1	1.R	1	MCS	AAA-ATPase Superfamily	The Membrane Contact Site (MCS) Family	PF00635;PF00350;PF04799	NP_004729.1;NP_001121132.1;NP_055689.1	2MDK;3IKK;6JFK;6JFL;6JFM;2YS1;1X4U;3FLV;6DS5;2RR3;3EAB;3VFD;5Z6Q;5Z6R;6PEK;6PEN	GO:0005789;GO:0005794;GO:0016021;GO:0005886;GO:0048487;GO:0019899;GO:0046982;GO:0042803;GO:0005198;GO:0008219;GO:0030968;GO:0045070;GO:0019048;GO:0005829;GO:0031306;GO:0005525;GO:0003924;GO:0008053;GO:0007006;GO:0051646;GO:0046580;GO:0048662;GO:0006626	CHEBI:25054	lipid
37	DNM2	8.A.34.1.4	P50570;Q9Y371	8.A.34.1	8.A.34	8.A	8						2YS1;6UP6;6UPN
38	FABP5	8.A.33.1.1	Q01469	8.A.33.1	8.A.33	8.A	8				PF00061	NP_001435.1	1B56;1JJJ;4AZM;4AZR;4LKP;4LKT;5HZ5;5UR9	GO:0005737;GO:0005504;GO:0005515;GO:0005215;GO:0008544;GO:0006629;GO:0006810
39	FKBP1A	8.A.11.1.2	P62942	8.A.11.1	8.A.11	8.A	8						1A7X;1B6C;1BKF;1BL4;1D6O;1D7H;1D7I;1D7J;1EYM;1F40;1FAP;1FKB;1FKD;1FKF;1FKG;1FKH;1FKI;1FKJ;1FKR;1FKS;1FKT;1J4H;1J4I;1J4R;1NSG;1QPF;1QPL;2DG3;2DG4;2DG9;2FAP;2FKE;2ND5;2PPN;2PPO;2PPP;2RSE;3FAP;3H9R;3MDY;4DH0;4FAP;4IPX;4N19;4ODP;4ODQ;4ODR;5I7P;5I7Q;6I1S;6M4U;6M4V;6M4W;6OQA
40	FXN	9.B.21.1.1	Q16595	9.B.21.1	9.B.21	9.B	9				PF01491	NP_000135.2;NP_001155178.1;NP_852090.1	1EKG;1LY7;3S4M;3S5D;3S5E;3S5F;3T3J;3T3K;3T3L;3T3T;3T3X;5KZ5;6NZU	GO:0005829;GO:0005759;GO:0051537;GO:0008199;GO:0008198;GO:0034986;GO:0005515;GO:0006879;GO:0006783;GO:0018283;GO:0030307;GO:0008284;GO:0051349;GO:0048554;GO:0051353;GO:0051347;GO:0016540;GO:0010722;GO:0010039
41	GOT2	9.A.70.1.1	P00505	9.A.70.1	9.A.70	9.A	9						5AX8		CHEBI:4984	fatty acid
42	GRIA1	1.A.10.1.23	P42261	1.A.10.1	1.A.10	1.A	1	GIC	VIC Superfamily	The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors					CHEBI:39124;CHEBI:36915	calcium ion;inorganic cation
