	genes	tcdb	uniprot	subfamily	family	subclass	class	fam_abbreviation	superfamily	name	pfam	refseq	pdb	go	chebi	substrate
43	HBA	1.A.107.1.1	P69905	1.A.107.1	1.A.107	1.A	1						1A00;1A01;1A0U;1A0Z;1A3N;1A3O;1A9W;1ABW;1ABY;1AJ9;1B86;1BAB;1BBB;1BIJ;1BUW;1BZ0;1BZ1;1BZZ;1C7B;1C7C;1C7D;1CLS;1CMY;1COH;1DKE;1DXT;1DXU;1DXV;1FDH;1FN3;1G9V;1GBU;1GBV;1GLI;1GZX;1HAB;1HAC;1HBA;1HBB;1HBS;1HCO;1HDB;1HGA;1HGB;1HGC;1HHO;1IRD;1J3Y;1J3Z;1J40;1J41;1J7S;1J7W;1J7Y;1JY7;1K0Y;1K1K;1KD2;1LFL;1LFQ;1LFT;1LFV;1LFY;1LFZ;1LJW;1M9P;1MKO;1NEJ;1NIH;1NQP;1O1I;1O1J;1O1K;1O1L;1O1M;1O1N;1O1O;1O1P;1QI8;1QSH;1QSI;1QXD;1QXE;1R1X;1R1Y;1RPS;1RQ3;1RQ4;1RQA;1RVW;1SDK;1SDL;1SHR;1SI4;1THB;1UIW;1VWT;1XXT;1XY0;1XYE;1XZ2;1XZ4;1XZ5;1XZ7;1XZU;1XZV;1Y01;1Y09;1Y0A;1Y0C;1Y0D;1Y0T;1Y0W;1Y22;1Y2Z;1Y31;1Y35;1Y45;1Y46;1Y4B;1Y4F;1Y4G;1Y4P;1Y4Q;1Y4R;1Y4V;1Y5F;1Y5J;1Y5K;1Y7C;1Y7D;1Y7G;1Y7Z;1Y83;1Y85;1Y8W;1YDZ;1YE0;1YE1;1YE2;1YEN;1YEO;1YEQ;1YEU;1YEV;1YFF;1YG5;1YGD;1YGF;1YH9;1YHE;1YHR;1YIE;1YIH;1YVQ;1YVT;1YZI;1Z8U;2D5Z;2D60;2DN1;2DN2;2DN3;2DXM;2H35;2HBC;2HBD;2HBE;2HBF;2HBS;2HCO;2HHB;2HHD;2HHE;2M6Z;2W6V;2W72;2YRS;3B75;3D17;3D7O;3DUT;3HHB;3HXN;3IA3;3IC0;3IC2;3KMF;3NL7;3NMM;3ODQ;3ONZ;3OO4;3OO5;3OVU;3P5Q;3QJB;3QJC;3QJD;3QJE;3R5I;3S48;3S65;3S66;3SZK;3WCP;3WHM;4FC3;4HHB;4IJ2;4L7Y;4M4A;4M4B;4MQC;4MQG;4MQH;4MQI;4MQJ;4MQK;4N7N;4N7O;4N7P;4N8T;4NI0;4NI1;4ROL;4ROM;4WJG;4X0L;4XS0;5E29;5E6E;5E83;5EE4;5HU6;5HY8;5JDO;5KDQ;5KSI;5KSJ;5NI1;5SW7;5U3I;5UCU;5UFJ;5URC;5VMM;5WOG;5WOH;5X2R;5X2S;5X2T;5X2U;6BB5;6BNR;6BWP;6BWU;6DI4;6HAL;6HBW;6HK2;6KA9;6KAE;6KAH;6KAI;6KAO;6KAP;6KAQ;6KAR;6KAS;6KAT;6KAU;6KAV;6KYE;6L5V;6L5W;6L5X;6L5Y;6LCW;6LCX;6NBC;6NBD;6NQ5;6TB2
44	HBB	1.A.107.1.2	P68871	1.A.107.1	1.A.107	1.A	1						1A00;1A01;1A0U;1A0Z;1A3N;1A3O;1ABW;1ABY;1AJ9;1B86;1BAB;1BBB;1BIJ;1BUW;1BZ0;1BZ1;1BZZ;1C7B;1C7C;1C7D;1CBL;1CBM;1CH4;1CLS;1CMY;1COH;1DKE;1DXT;1DXU;1DXV;1FN3;1G9V;1GBU;1GBV;1GLI;1GZX;1HAB;1HAC;1HBA;1HBB;1HBS;1HCO;1HDB;1HGA;1HGB;1HGC;1HHO;1IRD;1J3Y;1J3Z;1J40;1J41;1J7S;1J7W;1J7Y;1JY7;1K0Y;1K1K;1KD2;1LFL;1LFQ;1LFT;1LFV;1LFY;1LFZ;1LJW;1M9P;1MKO;1NEJ;1NIH;1NQP;1O1I;1O1J;1O1K;1O1L;1O1M;1O1N;1O1O;1O1P;1QI8;1QSH;1QSI;1QXD;1QXE;1R1X;1R1Y;1RPS;1RQ3;1RQ4;1RQA;1RVW;1SDK;1SDL;1THB;1UIW;1VWT;1XXT;1XY0;1XYE;1XZ2;1XZ4;1XZ5;1XZ7;1XZU;1XZV;1Y09;1Y0A;1Y0C;1Y0D;1Y0T;1Y0W;1Y22;1Y2Z;1Y31;1Y35;1Y45;1Y46;1Y4B;1Y4F;1Y4G;1Y4P;1Y4Q;1Y4R;1Y4V;1Y5F;1Y5J;1Y5K;1Y7C;1Y7D;1Y7G;1Y7Z;1Y83;1Y85;1Y8W;1YDZ;1YE0;1YE1;1YE2;1YEN;1YEO;1YEQ;1YEU;1YEV;1YFF;1YG5;1YGD;1YGF;1YH9;1YHE;1YHR;1YIE;1YIH;1YVQ;1YVT;1YZI;2D5Z;2D60;2DN1;2DN2;2DN3;2DXM;2H35;2HBC;2HBD;2HBE;2HBF;2HBS;2HCO;2HHB;2HHD;2HHE;2M6Z;2W6V;2W72;2YRS;3B75;3D17;3D7O;3DUT;3HHB;3HXN;3IC0;3IC2;3KMF;3NL7;3NMM;3ODQ;3ONZ;3OO4;3OO5;3P5Q;3QJB;3QJC;3QJD;3QJE;3R5I;3S65;3S66;3SZK;3W4U;3WCP;3WHM;4FC3;4HHB;4IJ2;4L7Y;4M4A;4M4B;4MQC;4MQG;4MQH;4MQI;4N7N;4N7O;4N7P;4N8T;4NI0;4NI1;4ROL;4ROM;4WJG;4X0L;4XS0;5E29;5E6E;5E83;5EE4;5HU6;5HY8;5JDO;5KDQ;5KSI;5KSJ;5NI1;5SW7;5U3I;5UCU;5UFJ;5URC;5VMM;5WOG;5WOH;5X2R;5X2S;5X2T;5X2U;6BB5;6BNR;6BWP;6BWU;6DI4;6FQF;6HAL;6HBW;6HK2;6KA9;6KAE;6KAH;6KAI;6KAO;6KAP;6KAQ;6KAR;6KAS;6KAT;6KAU;6KAV;6KYE;6L5V;6L5W;6L5X;6L5Y;6LCW;6LCX;6NBC;6NBD;6NQ5;6TB2
45	KCNK5	1.A.1.8.2	O95279	1.A.1.8	1.A.1	1.A	1	VIC	VIC Superfamily	The Voltage-gated Ion Channel (VIC) Superfamily 	PF07885	NP_003731.1		GO:0005887;GO:0005267;GO:0005244;GO:0007588;GO:0006813	CHEBI:30143;CHEBI:9175;CHEBI:8345;CHEBI:49847;CHEBI:33126;CHEBI:7435	lithium(1+);sodium(1+);potassium(1+);rubidium(1+);caesium(1+);ammonium
46	KCNN4	1.A.1.16.2	O15554	1.A.1.16	1.A.1	1.A	1	VIC	VIC Superfamily	The Voltage-gated Ion Channel (VIC) Superfamily 	PF02888;PF07885;PF03530	NP_002241.1	6CNM;6CNN;6CNO;6D42	GO:0008076;GO:0015269;GO:0005516;GO:0006952;GO:0006813	CHEBI:8345	potassium(1+)
47	LRRC8A	1.A.25.3.1	Q6NSJ5;Q6P9F7;Q7L1W4;Q8IWT6;Q8TDW0	1.A.25.3	1.A.25	1.A	1	Innexin	Leucine-rich Repeat-containing Domain (LRRD) Superfamily	The Gap Junction-forming Innexin (Innexin) Family	PF12534		6M04;5ZSU;6DJB	GO:0016021;GO:0002329	CHEBI:22563	anion
48	MFSD2B	2.A.2.3.16	A6NFX1	2.A.2.3	2.A.2	2.A	2	GPH	Major Facilitator (MFS) Superfamily	The Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family					CHEBI:37550	sphingosine 1-phosphate
49	NSF	1.F.1.1.1	O00161;O95295;P21579;P23763;P46459;P60880;P63027;Q12846;Q16623;Q9BV40	1.F.1.1	1.F.1	1.F	1	SVF-Pore	Synaptotagmin Domain-containing (SynapD) Superfamily	The Synaptosomal Vesicle Fusion Pore (SVF-Pore) Family	PF00835;PF05739;PF00804;PF00957;PF00004;PF02933;PF02359	NP_003072.2;NP_570824.1;NP_001159375.1;NP_004594.1;NP_055046.1;NP_058439.1;NP_954740.1;NP_055047.2;NP_003816.2;NP_570710.1;NP_004595.2;NP_003752.2;NP_036569.1;NP_006169.2	1KIL;1XTG;3FIE;3FII;1NHL;3ZUS;2K45;2K4A;2K8M;2KI6;2LHA;2N1T;2R83;3F00;3F01;3F04;3F05;4ISQ;4V11;3DDA;3DDB;3RK2;3RK3;3RL0;3ZUR;4WY4;3hd7;6G5F;6G5K;6QNS;6TZ3;6U41;6U4U;6U4W;5W7I;5W7J;6JLH;7BV6	GO:0042582;GO:0030054;GO:0001950;GO:0042581;GO:0045202;GO:0019717;GO:0005515;GO:0006944;GO:0006892;GO:0015031;GO:0006903;GO:0030672;GO:0000149;GO:0006887;GO:0006886;GO:0007269;GO:0005887;GO:0005741;GO:0016192;GO:0005829;GO:0005524;GO:0004176;GO:0046872;GO:0004252;GO:0006508;GO:0030426;GO:0048471;GO:0001504;GO:0016081;GO:0060203;GO:0030667;GO:0016044;GO:0016323;GO:0009986;GO:0016021;GO:0005773;GO:0005484;GO:0005576;GO:0050796;GO:0005769;GO:0005624
50	PANX1	1.A.25.2.1	Q96RD7	1.A.25.2	1.A.25	1.A	1	Innexin	Leucine-rich Repeat-containing Domain (LRRD) Superfamily	The Gap Junction-forming Innexin (Innexin) Family	PF00876	NP_056183.2	6LTN;6LTO;6M02;6M66;6M67;6M68;6V6D;6WBF;6WBG;6WBI;6WBK;6WBL;6WBM;6WBN	GO:0032059;GO:0005921;GO:0016021;GO:0005102;GO:0006812;GO:0050718	CHEBI:22563;CHEBI:2359	anion;ATP
51	PDIA3	8.A.88.2.7	P30101	8.A.88.2	8.A.88	8.A	8	CASQ	LysE Superfamily	The calciquestrin (CASQ) Family					CHEBI:14911	protein
52	PIEZO1	1.A.75.1.1	Q92508;Q99750;Q9P1T7	1.A.75.1	1.A.75	1.A	1				PF12166			GO:0005789;GO:0033116;GO:0016021;GO:0005886;GO:0005216;GO:0033634;GO:0033625	CHEBI:24870;CHEBI:3308;CHEBI:30143;CHEBI:9175;CHEBI:8345;CHEBI:49847;CHEBI:33126;CHEBI:23058;CHEBI:35264;CHEBI:9478	ion;calcium(2+);lithium(1+);sodium(1+);potassium(1+);rubidium(1+);caesium(1+);cation;tetramethylammonium;tetraethylammonium
53	PLSCR1	9.A.36.1.1	O15162	9.A.36.1	9.A.36	9.A	9				PF03803	NP_066928.1	1Y2A	GO:0016021;GO:0005886;GO:0005509;GO:0017128;GO:0017124;GO:0017121;GO:0030168;GO:0009615	CHEBI:3308;CHEBI:16247	calcium(2+);phospholipid
54	PLSCR4	9.A.36.1.4	Q9NRQ2	9.A.36.1	9.A.36	9.A	9						3Q5U		CHEBI:8150	phospholipid
55	PRDX6	8.A.147.1.3	P30041	8.A.147.1	8.A.147	8.A	8								CHEBI:16247;CHEBI:25940	phospholipid;peroxides
56	PRKCB	8.A.104.1.4	P05771	8.A.104.1	8.A.104	8.A	8	AMPK	Protein Kinase (PK) Superfamily	The 5'-AMP-activated protein kinase (AMPK) Family			2I0E
57	PTEN	1.A.51.2.4	P60484	1.A.51.2	1.A.51	1.A	1	VPC	VIC Superfamily	The Voltage-gated Proton Channel (VPC) Family
58	RALBP1	9.A.1.1.1	Q15311	9.A.1.1	9.A.1	9.A	9				PF00620	NP_006779.1	2KWH;2KWI;2MBG	GO:0005622;GO:0016020;GO:0043492;GO:0030675;GO:0048365;GO:0017160;GO:0006935;GO:0043089;GO:0007264;GO:0006810	CHEBI:23888	drug
59	RAN	9.A.60.1.1	P52298;P62826;Q09161;Q9H814	9.A.60.1	9.A.60	9.A	9				PF10258;PF02854;PF09088;PF09090;PF00076;PF00071		1H2T;1H2U;1H2V;1H6K;1N52;1N54;3FEX;3FEY;1I2M;1IBR;1K5D;1K5G;1QBK;1RRP;2MMC;2MMG;3CH5;3EA5;3GJ0;3GJ3;3GJ4;3GJ5;3GJ6;3GJ7;3GJ8;3GJX;3NBY;3NBZ;3NC0;3NC1;3ZJY;4C0Q;4GMX;4GPT;4HAT;4HAU;4HAV;4HAW;4HAX;4HAY;4HAZ;4HB0;4HB2;4HB3;4HB4;4OL0;4WVF;2XC7;5CIQ;5CIT;5CIW;5CJ2;5CLL;5CLQ;5DH9;5DHA;5DHF;5DI9;5DIF;5DIS;5OO6;5OOB;6D0Y;2N1B;5DLQ;5FYQ;5JLJ;5UWH;5UWI;5UWJ;5UWO;5UWP;5UWQ;5UWR;5UWS;5UWT;5UWU;5UWW;5YRO;5YST;5YSU;5YTB;5ZPU;6A38;6A3A;6A3B;6A3C;6A3E;6CIT;6KFT;6NIF;6Q82;6Q84;6TVO;6X2M;6X2O;6X2P;6X2R;6X2S;6X2U;6X2V;6X2W;6X2X;6X2Y	GO:0015030;GO:0005829;GO:0003723;GO:0034660;GO:0015031;GO:0006408;GO:0000387;GO:0005845;GO:0005654;GO:0030529;GO:0005515;GO:0000339;GO:0031047;GO:0008334;GO:0031124;GO:0006370;GO:0006379;GO:0006406;GO:0000184;GO:0031442;GO:0050434;GO:0006446;GO:0006369;GO:0006368;GO:0016032;GO:0000166;GO:0000340;GO:0046833;GO:0042470;GO:0005643;GO:0050681;GO:0003682;GO:0005525;GO:0003924;GO:0003713;GO:0030521;GO:0051301;GO:0006259;GO:0007067;GO:0007052;GO:0045893;GO:0006611;GO:0006405;GO:0007264;GO:0046796;GO:0019058	CHEBI:74035	small nuclear RNA
60	RHAG	1.A.11.4.3	P18577;Q02094;Q02161	1.A.11.4	1.A.11	1.A	1				PF00909	NP_001121163.1;NP_057208.2;NP_065231.2;NP_619522.2;NP_619523.2;NP_619524.2;NP_000315.2		GO:0005887;GO:0008519;GO:0055085;GO:0051739;GO:0030506;GO:0015696;GO:0015670;GO:0006873	CHEBI:7435;CHEBI:6864;CHEBI:4897;CHEBI:3283	ammonium;methylamine;ethylamine;carbon dioxide
61	RHCE	1.A.11.4.3	P18577;Q02094;Q02161	1.A.11.4	1.A.11	1.A	1				PF00909	NP_001121163.1;NP_057208.2;NP_065231.2;NP_619522.2;NP_619523.2;NP_619524.2;NP_000315.2		GO:0005887;GO:0008519;GO:0055085;GO:0051739;GO:0030506;GO:0015696;GO:0015670;GO:0006873	CHEBI:7435;CHEBI:6864;CHEBI:4897;CHEBI:3283	ammonium;methylamine;ethylamine;carbon dioxide
62	RHD	1.A.11.4.3	P18577;Q02094;Q02161	1.A.11.4	1.A.11	1.A	1				PF00909	NP_001121163.1;NP_057208.2;NP_065231.2;NP_619522.2;NP_619523.2;NP_619524.2;NP_000315.2		GO:0005887;GO:0008519;GO:0055085;GO:0051739;GO:0030506;GO:0015696;GO:0015670;GO:0006873	CHEBI:7435;CHEBI:6864;CHEBI:4897;CHEBI:3283	ammonium;methylamine;ethylamine;carbon dioxide
63	SCN4A	1.A.1.10.4	P35499	1.A.1.10	1.A.1	1.A	1	VIC	VIC Superfamily	The Voltage-gated Ion Channel (VIC) Superfamily 	PF00520;PF06512	NP_000325.4	6AGF;6MBA;6MC9	GO:0001518;GO:0005248;GO:0006936;GO:0006814;GO:0055085	CHEBI:9175	sodium(1+)
64	SCN9A	1.A.1.10.5	Q15858	1.A.1.10	1.A.1	1.A	1	VIC	VIC Superfamily	The Voltage-gated Ion Channel (VIC) Superfamily 	PF00520;PF06512	NP_002968.1	5EK0;6J8G;6J8H;6J8I;6J8J;6N4Q;6N4R;6NT3;6NT4;6VXO;6W6O	GO:0001518;GO:0005248;GO:0006814;GO:0055085	CHEBI:9175	sodium(1+)
65	SLC11A2	2.A.55.2.1	P49281	2.A.55.2	2.A.55	2.A	2	Nramp	APC Superfamily	The Metal Ion (Mn2+-iron) Transporter (Nramp) Family	PF01566	NP_000608.1	5F0L;5F0M;5F0P	GO:0016324;GO:0045178;GO:0009986;GO:0031410;GO:0005769;GO:0016021;GO:0005770;GO:0031902;GO:0005765;GO:0005764;GO:0005634;GO:0070826;GO:0048471;GO:0005886;GO:0055037;GO:0005802;GO:0015086;GO:0015087;GO:0005375;GO:0015093;GO:0015094;GO:0005384;GO:0015099;GO:0005515;GO:0015295;GO:0015100;GO:0005385;GO:0006919;GO:0070574;GO:0034599;GO:0006824;GO:0006825;GO:0003032;GO:0070627;GO:0015684;GO:0015692;GO:0006828;GO:0060586;GO:0015675;GO:0001666;GO:0010039;GO:0015676;GO:0005903;GO:0012505;GO:0005887;GO:0046870;GO:0050897;GO:0005507;GO:0015078;GO:0005506;GO:0030145;GO:0016151;GO:0008270;GO:0006879;GO:0048813;GO:0048821;GO:0006783;GO:0007611;GO:0046686;GO:0010288;GO:0010042	CHEBI:3290;CHEBI:49807;CHEBI:23380;CHEBI:34754;CHEBI:29035;CHEBI:25517;CHEBI:10113	cadmium(2+);lead(2+);copper(2+);iron(2+);manganese(2+);nickel(2+);zinc(2+)
66	SLC12A2	2.A.30.1.4	P55011	2.A.30.1	2.A.30	2.A	2	CCC	APC Superfamily	The Cation-Chloride Cotransporter (CCC) Family	PF00324;PF08403	NP_001037.1	6PZT	GO:0005887;GO:0005624;GO:0051739;GO:0008511;GO:0006813;GO:0006814;GO:0070634;GO:0030321;GO:0055085;GO:0016324;GO:0016323;GO:0060444;GO:0050910;GO:0060763;GO:0035264	CHEBI:3731;CHEBI:9175;CHEBI:8345;CHEBI:7435;CHEBI:5585	chloride;sodium(1+);potassium(1+);ammonium;water
67	SLC12A4	2.A.30.1.17	Q9UP95	2.A.30.1	2.A.30	2.A	2	CCC	APC Superfamily	The Cation-Chloride Cotransporter (CCC) Family	PF00324;PF03522		6KKR;6KKT;6KKU	GO:0005887;GO:0005624;GO:0015379;GO:0006884;GO:0006813
68	SLC12A6	2.A.30.1.15	Q9UHW9	2.A.30.1	2.A.30	2.A	2	CCC	APC Superfamily	The Cation-Chloride Cotransporter (CCC) Family	PF00324;PF03522	NP_005126.1;NP_598408.1	6Y5R;6Y5V	GO:0005887;GO:0005624;GO:0015379;GO:0006884;GO:0006873;GO:0006821;GO:0006813;GO:0008217;GO:0006814;GO:0055085;GO:0016323;GO:0016021;GO:0001525;GO:0071477	CHEBI:3731;CHEBI:8345	chloride;potassium(1+)
69	SLC12A7	2.A.30.1.16	Q9Y666	2.A.30.1	2.A.30	2.A	2	CCC	APC Superfamily	The Cation-Chloride Cotransporter (CCC) Family	PF00324			GO:0005887;GO:0015379;GO:0006884;GO:0006813
70	SLC14A1	1.A.28.1.5	Q13336	1.A.28.1	1.A.28	1.A	1	UT	Urea Transporter/Na+ Exporter (UT/RnfD/NqrB) Superfamily	The Urea Transporter (UT) Family	PF03253		6QD5	GO:0005887;GO:0015204;GO:0005372	CHEBI:9888	urea
71	SLC16A1	2.A.1.13.1	P53985	2.A.1.13	2.A.1	2.A	2	MFS	Major Facilitator (MFS) Superfamily	The Major Facilitator Superfamily (MFS)	PF07690	NP_001159968.1;NP_003042.3		GO:0016021;GO:0005624;GO:0005886;GO:0015130;GO:0005515;GO:0015355;GO:0015293;GO:0015728;GO:0015711;GO:0055085;GO:0005739;GO:0007596;GO:0050900;GO:0006090	CHEBI:30031;CHEBI:3407;CHEBI:13704;CHEBI:28240;CHEBI:13705;CHEBI:15361;CHEBI:15740;CHEBI:24996;CHEBI:17968;CHEBI:15741;CHEBI:50613;CHEBI:20067;CHEBI:25351;CHEBI:131461;CHEBI:8718	succinate(2-);monocarboxylic acid anion;acetate;dichloroacetate;acetoacetate;pyruvate;formate;lactate;butyrate;succinic acid;(S)-2-hydroxybutyric acid;3-hydroxybutyric acid;mevalonic acid;3-bromopyruvic acid;(+)-artemisinin
72	SLC16A10	2.A.1.13.8	Q8TF71	2.A.1.13	2.A.1	2.A	2	MFS	Major Facilitator (MFS) Superfamily	The Major Facilitator Superfamily (MFS)	PF07690			GO:0016323;GO:0016021;GO:0015801;GO:0055085;GO:0006811	CHEBI:60311	thyroid hormone
73	SLC17A7	2.A.1.14.30	Q9P2U7	2.A.1.14	2.A.1	2.A	2	MFS	Major Facilitator (MFS) Superfamily	The Major Facilitator Superfamily (MFS)	PF07690			GO:0030054;GO:0060203;GO:0060076;GO:0016021;GO:0005886;GO:0048786;GO:0030672;GO:0019717;GO:0005315;GO:0005313;GO:0015321;GO:0015319;GO:0014047;GO:0051938;GO:0007616;GO:0007269;GO:0060079;GO:0042137;GO:0035249	CHEBI:9175;CHEBI:29987;CHEBI:7793	sodium(1+);glutamate(2-);phosphate(3-)
74	SLC19A1	2.A.48.1.1	P41440	2.A.48.1	2.A.48	2.A	2	RFC	Major Facilitator (MFS) Superfamily	The Reduced Folate Carrier (RFC) Family 	PF01770	NP_919231.1		GO:0005887;GO:0005624;GO:0005542;GO:0008517;GO:0015350;GO:0008518;GO:0015884;GO:0046655	CHEBI:5140;CHEBI:2097;CHEBI:28498	folic acid;5-methyltetrahydrofolic acid;acadesine
75	SLC19A2	2.A.48.1.2	O60779	2.A.48.1	2.A.48	2.A	2	RFC	Major Facilitator (MFS) Superfamily	The Reduced Folate Carrier (RFC) Family 	PF01770	NP_008927.1		GO:0016021;GO:0005542;GO:0008517;GO:0008518;GO:0015234;GO:0042723;GO:0015888;GO:0005886;GO:0015403	CHEBI:9530	thiamine(1+)
76	SLC1A1	2.A.23.2.3	P43005	2.A.23.2	2.A.23	2.A	2				PF00375	NP_004161.4	6S3Q	GO:0005887;GO:0005624;GO:0017153;GO:0070779;GO:0006835;GO:0051938;GO:0007268;GO:0016595;GO:0015501;GO:0005313;GO:0051260	CHEBI:30143;CHEBI:9175;CHEBI:8345;CHEBI:29987;CHEBI:29995;CHEBI:4050	lithium(1+);sodium(1+);potassium(1+);glutamate(2-);aspartate(2-);cysteine
77	SLC1A4	2.A.23.3.1	P43007	2.A.23.3	2.A.23	2.A	2				PF00375	NP_001129053.1;NP_003029.2		GO:0005887;GO:0005882;GO:0042470;GO:0005254;GO:0015180;GO:0015184;GO:0034590;GO:0015193;GO:0015194;GO:0015195;GO:0017153;GO:0050890;GO:0006835;GO:0034589;GO:0015808;GO:0015811;GO:0015825;GO:0015824;GO:0035249;GO:0015826;GO:0015186	CHEBI:9175;CHEBI:4050;CHEBI:16857;CHEBI:2539;CHEBI:9116	sodium(1+);cysteine;L-threonine;alanine;serine
78	SLC1A5	2.A.23.3.3	Q15758	2.A.23.3	2.A.23	2.A	2				PF00375	NP_005619.1	5LLM;5LLU;5LM4;5MJU;6GCT;6MP6;6MPB;6RVX;6RVY	GO:0005887;GO:0042470;GO:0005624;GO:0015175;GO:0005515;GO:0004872;GO:0017153;GO:0006835;GO:0015804;GO:0005794;GO:0015186;GO:0006811
79	SLC22A16	2.A.1.19.12	Q86VW1	2.A.1.19	2.A.1	2.A	2	MFS	Major Facilitator (MFS) Superfamily	The Major Facilitator Superfamily (MFS)	PF00083	NP_149116.2		GO:0016021;GO:0005886;GO:0015226;GO:0046717;GO:0015879;GO:0030154;GO:0007275;GO:0007338;GO:0030317;GO:0007283	CHEBI:17126;CHEBI:6202	carnitine;(R)-carnitine
